	input
0	Umugabo wanjye w’iserazerano aba Uganda, nkaba narabyaranye n’undi, uwo twabyaranye rero ni umuyobozi w’umudugudu wa kabuye.
1	Nk’uko abari mu nama babigaragaje, ngo byakunze kugaragara ko uko imijyi igenda ikura hari abantu bagenda bimurwa bakimukira mu nkengero zayo, naho bahagera, nyuma y’ikindi gihe bakongera kwimurwa.
2	Amakuru avuga ko yaba yihishe muri Kenya aho akomeje gukora ubucuruzi ni ubwo icyo gihugu kibihakana.
3	Ibyo babivuga bahereye ku kuba mu mwaka wa 2006 iyo ndwara yaragaragaye mu gihugu cya Uganda.
4	Avuga ko bagiye gushakira abaturage imbuto nziza y’ibireti izajya itanga umusaruro kurusha iyari isanzwe kandi idasaza vuba.
5	Hari aho usanga ibishyimbo, ibigori ndetse n’urutoki bihinze mu murima umwe.
6	Abahagarariye SABMiller batangaza ko inzoga bakoze nta kibazo izatera ku buzima bwa muntu.
7	Nkuko Umuyobozi wa Action Aid mu Rwanda, Josephine Uwamariya, abitangaza mu rwego rwo gufasha abanyarwanda kurwanya inzara,umuryango Action Aid International wahisemo gufasha abagore bakora umwuga w’ubuhinzi mu Rwanda.
8	Muri iki gihe uhatembereye ushobora kugira ngo ni amateka cyangwa se ni amakabyankuru y’abantu, abenshi mu baturage hari bahatuye nibo bivugira ko nta kibazo cy’inzara kihaherutse.
9	Ibi bihingwa kandi bigirira akamaro kanini umuhinzi wabyo kuko bimuzanira amafaranga.
10	Gusa ngo mu turere tumwe na tumwe imvura izagwa ariko igende igabanuka uko ibihe bizagenda bishira.
11	Mu mwaka wa 2006 batangiye kubona umusaruro wabyo ariko kugeza ubu nta masoko barabona ku buryo bamwe bakiwubitse abandi bacitse intege kuko bari barashoyemo amafaranga bakaba babifata nk’igihombo.
12	Ubusanzwe hateganijwe kworozwa imiryango igera kuri 257 000 ikennye kurusha indi mu gihugu hose kugeza ubu hakaba hamaze kworozwa imiryango 92 000.
13	ukoresheje telefone yawe ushobora kohereza amafaranga ku nshuti n’abavandimwe ubundi bagafatira amafaranga yabo kuri ATM ibegereye nta karita bakoresheje.
14	Uretse kuba tekutangije ishobora guteka ibintu bitandukanye icyarimwe, ifite akarusho ko kurondereza inkwi.
15	Nubwo akiri muto, Thomas Suarez yumva afite inyota yo kuzagera ku bintu bikomeye mu ikoranabuhanga kuko ariho indoto ze ziri.
16	Mu mpera z’umwaka utaha wa 2012 bazaba bamaze kugera kuri miliyoni 738.
17	Apple ivuga ko Samsung yayibye bimwe mu bikoresho ndetse n’ubumenyi bwakoreshejwe mu gukora telephone ndetse na mudasobwa ntoya igendanywa tablet ya Samsung Glaxy.
18	Ariko muri uku kwezi kwa cumi guhera tariki ya 17 nibwo iyo mudasobwa yatangiye kugera no mu bindi bihugu byo muri Afrika.
19	Ubuyobozi bwayo buvuga ko nubwo bizwi ko i Kigali ariho hari iterambere mu ikoranabuhanga ko n’ i Muhanga n’aho abantu baryitabira cyane.
20	Bazwiho kuba barakoreye mu igarage ry’iwe mu rugo mu gihe bahangaga mudasobwa ya mbere yahawe izina rya Apple.
21	zigishwa amasomo yo mu ishuri n’indi mibanire myiza n’abandi.
22	Yanasabye ko hakumvwa ubuhamya bwabo kuko bamaze gukorerwa ubugenzuzi.
23	Ubushinjacyaha bw’u Rwanda bwemeza ko aya madosiye azabagirira akamaro mu rubanza ruregwamo Victoire Ingabire n’abandi bantu bane bahoze mu gisirikare cya FDLR.
24	Yongeyeho ko nubwo ibiganiro bikomeje iki kibazo gikomeje kuba ingorabahizi.
25	Ntawukulilyayo we yajuririye igihano cy’igifungo cy’imyaka 25 yakatiwe kubera uruhare yagize muri Jenoside.
26	Agnes Uwimana akurikirankweho ibyaha byo gupfobya jenoside, kuvutsa igihugu umudendezo, gusebanya, n’amacakubiri.
27	Ntawukulilyayo we yajuririye igihano cy’igifungo cy’imyaka 25 yakatiwe kubera uruhare yagize muri Jenoside.
28	Umunyarwanda Michel Bagaragaza yahoze ari umuyobozi mukuru w’ikigo cya OCIR- Ishami ry’icyayi, akaba yarafatwaga nk’umwe mu nkoramutima za Juvnal Habyarimana wari Perezida w’u Rwanda.
29	Nzabonimana, wize ibijyanye n’ubutaka muri kaminuza yo mu Bufaransa, ashinjwa kuba ari mu bateguye bagaashyira mu bikorwa, akanategeka ubwicanyi bw’Abatutsi, ndetse no kwica abataravugaga rumwe n’ubutegetsi bwariho.
30	Urukiko rwemeje ko rufite ububasha bwo gukurikirana Umunyarwanda wese wakoreye icyaha hanze y’igihugu iyo gihanwa n’igihugu yagikoreyemo.
31	Aha bakaba bibaza niba ibi bitaba ari ugusubiza ubwenge ku gihe igihe cyarenze prise de conscience tardive.
32	Aba bahamwe n’icyaha cyo gutegura Jenocide ndetse n’uruhare rwabo mu gukuraho uwahoze ari perefe wa Butare Jean-Baptiste Habyalimana.
33	Iyo Sitade yubatse neza ku muhanda werekeza muri Parike y’Akagera inyubako z’igice cyari urwambariro rw’iyo sitade zarasenyutse ariko ikibuga kimeze neza.
34	Mu itangazo yashyize ahagaragara, Andrew Nganga umuyobozi mukuru wa Thousand Hills Expeditions ahumuriza ba mukerarugendo, abashishikariza kuza mu Rwanda kuko hari amahoro n’umutekano.
35	Nyinshi muri zo zabaga mu gishanga cya Kageyo mu murenge wa Mwili mu karere ka Kayonza.
36	Ishyamba cyimeza rya Nyungwe ni kimwe mu bigega by’amazi y’ritanga hafi 60 by’amazi y’u Rwanda kandi isoko ry’uruzi rwa Nili iri muri iryo shyamba.
37	Nyuma y’ibyo byose habayeho ubusabane hagati y’abakozi ba RDB n’abaturage.
38	Hari igice kinini cya Parike kimaze kuzitirwa, birashoboka ko zashatse gusubira muri Parike zikabura aho zinjirira kubera urwo ruzitiro.
39	Bahizi yavuze ko aba bakora imirimo nsimburagifungo ifitiye igihugu akamaro bazajya bakora uyu muhanda bataha iwabo, bakazaba bawutsindagiye kuko batateganije ibikorwa byo kwimura abaturage kugira ngo bawagure.
40	Rwigamba yakomeje akangurira Abanyarwanda benshi kwitabira iryo murikabikorwa kugira ngo bamenye uburyo bwo kubungabunga ibikorwa kandi babayeho uko babyifuza.
41	U Rwanda rwashyizeho umunsi wo kwita izina ingagi zo mu birunga mu rwego rwo guha agaciro umutungo kamere kuko inyamaswa na pariki bigira uruhare mu kuzamura ubukungu bw’igihugu.
42	Kuva tariki 01062012 ibiciro by’abanyamahanga basura ingagi mu Birunga biziyongeraho Kimwe cya Kabiri cyayo bari basanzwe batanga, byatumye hari abibaza ko bishobora kuzagabanya umubare wa ba mukerarugendo basura ingagi.
43	Kugeza ubu, amahoteli agera kuri 11 ku mahoteli arenga 200 akorera mu Rwanda niyo yonyine asanzwe akoresha Expedia.
44	Icyo gikorwa kizaha amakuru abanyamahanga bifuza gusura u Rwanda ariko ntibabone amakuru ku byiza nyaburanga rufite.
45	Ibizami byakorewe umurambo w’iyo ngagi byerekanye ko iyo ngagi yapfuye ishonje bisobanuye ko yapfuye imaze iminsi itarya kubera ko yari yaguye mu mutego.
46	Abakozi b’iki kigo bakomeje urugendo bagana mu mirenge ihana imbibe n’ikiyaga cya Sake kugira ngo baganire ku buryo iki gishushanyo cyarushaho gukorwa neza.
47	Umuyobozi mukuru wa RDB, John Gara, yavuze ko kongera ibiciro bije mu gihe ingagi zirimo kwiyongera kandi hakaba hari n’abantu benshi bakomeje kwitabira kuzisura.
48	Ubuyobozi bwa parike y’Akagera burakeka ko izi nzovu zaba zarapfuye tariki 31122011, ariko bakavuga ko batabizi neza kuko amakuru nya yo azatangwa n’abo baganga b’inzobere boherejwe na RDB.
49	Urwo rutonde ruvuga ko The Manor, Lemigo, Mille Collines na Lake Kivu Serena ziri mu gice cy’amahoteli afite inyenyeri enye.
50	Umuyobozi w’akarere ka Rubavu, Sheih Bahame Hassan, asubanura ko impamvu nyamukuru yo kubaka kuri uyu musozi harimo gufata ubutaka ntibutwarwe n’isuri no kuhagira ahantu nyaburanga.
