input	target
I Failed Many Times Before I Succeeded 12	Un J’ayǐ Azɔn Gègě Cobɔ É Wá Kpa Mì 12
The Most Useful Comparison You May Ever Make 14	A ka Jló Na Jlɛ́ Nǔ E A Ði Nǔ Na lɛ É Dó Biblu Wu Kpɔ́n À 14
Now ,less than 250 years later ,it has faded to the point of being barely legible .	Ðò égbé ,ɖò xwè nǎ yì 250 gudo ɔ ,é cá kaka bɔ xixa tɔn nɔ vɛwǔ tawun .
About 167 B.C.E .Seleucid King Antiochus Epiphanes ,who sought to force Greek religion on the Jews ,ordered all copies of the Hebrew Scriptures to be destroyed .	Xwè 167 J.H.M .mɔ̌Axɔsu Antiochus Epiphanes e nyí akɔhɛnnugán ɖaxó Séleucide lɛ tɔn ɖé ,bo ba na hɛn Jwifu lɛ gannugánnú bɔ ye na byɔ sinsɛn Glɛkinu lɛ tɔn mɛ é ɖegbe ɖɔ è ni sú kún dó nú Akpáxwé Biblu Tɔn E È Wlan Dó Ebléegbe Mɛ lɛ É bǐ .
William Tyndale’s English translation of the Bible survived despite a ban ,Bible burnings ,and the execution of Tyndale himself in 1536	È gbɛ́ Biblu e William Tyndale lilɛ dó Glɛnsigbe mɛ é ,è dó zo ,bo lɛ́ hu Tyndale ɔ ɖesu ɖò 1536 có ,lilɛdogbeɖevomɛ Biblu tɔn enɛ ɔ gézé
In their synagogues ,the Jews kept copies of the Scriptures ​ — the same Scriptures that were used by future generations ,including Christians . Acts 1521 .	Ye fɔ Mawuxówema ɔ ɖé lɛ ɖó kplɔ́ngbasá yetɔn lɛ ,Mawuxówema ɖokpo enɛ lɛ wɛ jijimɛ e wá bɔ d’ewu lɛ é zán ,kaka jɛ Klisanwun lɛ jí . Mɛsɛ́dó 1521 .
Even before the movable - type printing press was invented in the middle of the 15th century ,portions of the Bible may have been available in as many as 33 languages .	Akpáxwé Biblu ɔ tɔn lɛ na ko tíìn dó gbè 33 mɛ ɖò xwè kanweko 15gɔ́ ɔ sín tɛntin mɔ̌ ,cobɔ è wá ɖè mɔ e nɔ zín wema bɔ è sixu sɛ̀ tɛn na é tɔ́n .
Between the fourth and second centuries B.C.E . ,the writers of the Samaritan Pentateuch inserted after Exodus 2017 the words in Aargaareezem .	Nɔtɛn sinsɛn - biblo tɔÐò xwè kanweko ɛnɛgɔ ɔ kpo wegɔ ɔ kpo J.H.M .tɔn tɛntin ɔ ,mɛ e wlan Pɛntateki Samalíinu lɛ tɔn lɛ é gɔ́ xó nú Tíntɔ́n 2017 bo ɖɔ ,ɖò Aargaareezem .
Less than 300 years after the Bible was completed ,a Trinitarian writer added to 1 John 57 the words in heaven ,the Father ,the Word ,and these three are one .	Nùkplɔnmɛ atɔnɖobǔ tɔÈ fó Biblu ɔ b’ɛ kpò kpɛɖé b’ɛ na bló xwè 300 é ɔ ,wema wlantɔ́ e nɔ jɛhun dó Atɔnɖobǔ jí é ɖé gɔ́ xó nú 1 Jaan 57 bo ɖɔ ,ɖò jixwé ,Tɔ́ ɔ ,Xó ɔ ,kpo Gbigbɔ Mímɛ́ ɔbɔ atɔn enɛ lɛ nyí ɖokpo .
Yet ,at 1 John 57 ,they had inserted the spurious words referred to earlier in this article .	É ɖò mɔ̌ có ,ɖò 1 Jaan 57 mɛ ɔ ,ye gɔ́ xógbe masɔgbe e mǐ mɔ ɖò bǐbɛ̌mɛ xota elɔ tɔn lɛ é na .
