input	target
The thumbnail size option provides a slider and spin box for adjusting the size of the thumbnails used in the gallery.	Bya i Igaragazaryihuse Byakoreshejwe in i Ikirongozi.
The set different color depth check box enables a combo box for selecting a different color depth for the thumbnails if you wish to use a color depth other than the depth used in the original image.	Ubujyakuzimu Ikindi i Ubujyakuzimu Byakoreshejwe in i Umwimerere Ishusho.
Copyright copy 2001,2003 Lukas Tinkl lukas kde. org	copy ,kde. org
Documentation Copyright 2004 Mike Diehl madpenguin8 yahoo. com	Yahoo. com
madpenguin8 yahoo. com	Yahoo. com
The HTML Settings plugin provides an easy way to access the common HTML settings for konqueror .	HTML Kuri i HTML konqueror .
Using KHTMLSettings	Amagenamiterere ya HTML
The HTML settings plugin can be accessed in the konqueror menubar under Tools HTML Settings. Below is a list of the settings and a short description of each one.	HTML in i konqueror .Bya Rimwe.
Allows you to turn the use of JavaScript in konqueror on or off.	Kuri i Koresha Bya in konqueror ku Cyangwa Bidakora.
Allows you to turn the use of Java in konqueror on or off.	Kuri i Koresha Bya Java in konqueror ku Cyangwa Bidakora.
Allows you to turn the use of Cookies in konqueror on or off.	Kuri i Koresha Bya in konqueror ku Cyangwa Bidakora.
Allows you to turn the use of the konqueror plugins you have installed on or off.	Kuri i Koresha Bya i konqueror Amacomeka yakorewe iyinjizaporogaramu ku Cyangwa Bidakora.
Autoload Images	Fungura Ishusho
Allows you to turn on or off the loading of images in web pages.	Kuri ku Cyangwa Bidakora i Ifungura Bya Ishusho in Urubuga Amapaji.
Enable Proxy	Gukoresha Urufunguzo
Allows you to enable or disable the use of a proxy in the konqueror browser.	Kuri Gushoboza Cyangwa Kwangira i Koresha Bya A Porogisi in i konqueror Mucukumbuzi.
Enable Cache	Emera Ubwihisho bwa Mem
Allows you to enable or disable the use of cache in the konqueror browser.	Kuri Gushoboza Cyangwa Kwangira i Koresha Bya Ubwihisho in i konqueror Mucukumbuzi.
Cache Policy	Poritiki Ubwihisho Bidakora
The Cache Policy submenu provides you with a way to configure the how konqueror uses cache. The possible uses include	A Kuri Kugena Imiterere i konqueror Ubwihisho. Gushyiramo
Keep Cache in Sync	Gumana ubwihisho mu iringaniza
Offline Browsing Mode	Uburyo gucukumbura umurongoufunze
Copyright copy 2001 Carsten. Pfeiffer Carsten. Pfeiffer. mail	copy kde. org
Documentation Copyright 2004 Mike Diehl madpenguin8 yahoo. com	Yahoo. com
