input	target
Preload next image	Layisha kuqala umfanekiso olandelayo
Background color	Umbala wesiqalo
Quality Speed	Ubunjani Isantya
Fast rendering	Unikezelo olukhawulezayo
Dither in HiColor 15 16bit modes	Dither kwi HiColor 15 16bit iindlela
Use own color palette	Sebenzisa ubuncinane bombala wakho
Fast palette remapping	Ulungiso kwakhona olukhawulezayo
Rotate image	Layisha kuqala umfanekiso olandelayo
Menu Reference	Uthelekiso Lomyalelo
Command Reference	Uthelekiso Lomyalelo
Page Down	Iphepha Ezantsi
Page Up	Iphepha Eliphezulu
Loads the last image	Layisha kuqala umfanekiso olandelayo
Ctrl S	Ctrl S
Alt Return	Ctrl S
Ctrl W	Ctrl S
Ctrl Q	Ctrl Q
Double click	Nqakraza kabini
Credits and License	Amatyala Nelayisenisi
Compilation and Installation	Uqokelelo Nofako
Stop playing	Yima ukudlala
Page Up	Iphepha Eliphezulu
Page Down	Iphepha Ezantsi
Ctrl O	Ctrl O
Ctrl Q	Ctrl Q
Compilation and Installation	Uqokelelo Nofako
Developer up to 2.0	Umbhekisi phambili
Command Reference	Uthelekiso Lomyalelo
To Desktop	Kwi Desktop
Enable Window Dragging	Yenza utsalo lwe window
Show Name	Bonisa igama
Show Number	Bonisa inani
Show Background	Bonisa isiqalo
Show Windows	Bonisa iiwindow
Type of Window	Udidi lwe window
Questions and Answers	Imibuzo Neempendulo
Credits and License	Amatyala Nelayisenisi
Compilation and Installation	Uqokelelo Nofako
Scheduled Tasks	Imisebenzi Ecwangcxisiweyo
Days of the Month	Imihla yeNyanga
Days of the Week	Imihla yeVeki
Command Reference	Uthelekiso Lomyalelo
The File Menu	I Fayile Menu
Ctrl S File Save	Ctrl S Ifayile Gcina
Ctrl P File Print...	Ctrl Q Ifayile Iyakhupha
Ctrl Q File Quit	Ctrl Q Ifayile Iyakhupha
The Edit Menu	I Hlela Menu
Ctrl X Edit Cut	Ctrl X Hlela Sika
Ctrl C Edit Copy	Ctrl C Hlela ukhupela
Ctrl V Edit Paste	Ctrl V Hlela Cola
Create a new task or variable.	Yenza umsebenzi omtsha okanye umahluko.
Delete the selected task or variable.	Cima umsebenzi okhethiweyo okanye umahluko.
Enable disable the selected task or variable.	Yenza khubaza umsebenzi okhethiweyo okanye umahluko.
Run the selected task now.	Yenza umsebenzi okhethiweyo ngoku.
The Settings Menu	I Help Menu
Settings Show Toolbar	Ifayile Shicilela.
Settings Show Statusbar	Ifayile Shicilela.
The Help Menu	I Help Menu
Questions and Answers	Imibuzo Neempendulo
Credits and License	Amatyala Nelayisenisi
Compilation and Installation	Uqokelelo Nofako
Stay on one filesystem	Hlala kwindlela yefayile enye
Load tape on mount	Layisha i tape kunyuko
Lock tape drive on mount	Tshixa tape
Eject tape on unmount	Khupha ngaphandle inganyuki
Variable block size	Ubungakanani bebloko ulwahlulo
The File Menu	I Fayile Menu
The Edit Menu	I Hlela Menu
The Help Menu	I Help Menu
Onscreen Fundamentals	Izakhelo Ezisekhusini
Settings Show Toolbar	Izicwangciso Bonisa Isixhobo Sebhari
Settings Show Statusbar	Izicwangciso Bonisa Ibar yendawo engatshintshiyo
Settings Configure Toolbars...	Izicwangciso Qwalasela Iibhari zesixhobo.
help. menu. documentation	Ukwenziwa kwexwebhu
Questions and Answers	Imibuzo Neempendulo
Main Window	Window Engundoqo
Full Name	Igama elipheleleyo
Group Properties	Iimpahla Zeqela
Credits and License	Amatyala Nelayisenisi
Case sensitive	Umzekelo onovakalelo
Credits and License	Amatyala Nelayisenisi
Mario. Weilguni Mario. Weilguni. mail	Mario Weilguni mweilguni sime.com
Alex. Zepeda jazepeda pacbell. net	Alex Zepeda jazepeda pacbell.net
Harri. Porten Harri. Porten. mail	Harri Porten porten kde.org
Dima Rogozin dima mercury. co. il	Dima Rogozin dima mercury.co.il
Carsten. Pfeiffer Carsten. Pfeiffer. mail	Carsten Pfeiffer pfeiffer kde.org
Waldo. Bastian Waldo. Bastian. mail	Waldo Bastian bastian kde.org
Compilation and Installation	Uqokelelo Nofako
File Menu	Ifayile Menu
Ctrl Q File Quit	Ctrl Q Ifayile Iyakhupha
Help Menu	Uncedo Menu
USB Devices	USB Amacebo
Credits and License	Amatyala Nelayisenisi
Device Information	Ulwazi lwecebo
Memory Information	Ulwazi lwenkumbulo
Physical Memory	Inkumbulo Ebonakalayo
Section Author	Umbhali wecandelo
konqueror Basics	konqueror Oondoqo
Like all kde applications,konqueror is highly configurable. This document describes how konqueror behaves with the normal,default settings.	Njengazo zonke izicelo,i konqueror iyaqwalaseleka kakulu.Eli liyaqwalaseleka
A three button mouse can be useful when you are running konqueror or any other kde application. If your mouse only has two buttons then you should be able to set your system up so that you can simulate a MMB by pressing both buttons at the same time.	Imouse enamaqhosha amathathu ingaluncedo xa usenza i konqueror okanyenayiphi na enye kde isicelo.Ukuba imouse yakho inamaqhosha amabini kuphela ngoku ungakwazi ukucwangcisa indlela yakho ukuze ukwazi ukuveza i MMB ngokucinezela amaqhosha omabini ngexesha elinye.
If you are used to having to double-click to perform an action,then take care,because in common with the rest of kde ,konqueror defaults to single-clicking.	Ukuba sele uqhele ukuba nonqakrazo- kabini ukwenza intshukumo,ngoku yijnge,kuba okudibeneyo nokusele kwi kde,konqueror okungagqibekanga kunqakrazo- kanye.
Starting konqueror	Iqala i konqueror
Being a combined File Manager and Browser,konqueror will automatically switch between the two modes as needed when it is running,but it is convenient to be able to choose which mode is to be used when you start it up.	Xa unguMphathi wefayile odityanisiweyo noMkhangeli wencwadi,konqueror izakuswitsha ngokuzenzekelayo phakathi kwendlela ezimbini ezifunekayo xa isebenza,kodwa iluncedo ukukhetha indlela ezakusetyenziswa xa uyiqala.
If you have a house shaped icon on the panel or desktop,then left click on it to open konqueror as a file manager.	Ukuba une indlu emilisiweyo i icon kwiqela lenjongo okanye i desktop,ngoku LMB nqakraza kuyo ukuvula i konqueror njengomphathi wefayile.
Or left click on world shaped icon on the panel or desktop to open konqueror in browser mode.	Okanye LMB nqakraza ku ihlabathi emilisiweyo i icon kwiqela lenjongo okanye i desktop ukuvula i konqueror kwindlela yomkhangeli zincwadi.
From the K menu,select Internet Konqueror Web Browser to start it as a browser,or Home to launch konqueror in file manager mode.	Ukusuka ku K menu,khetha i Internet Konqueror Umkhangeli zincwadi ye Web ukuqala njengomkhangeli zincwadi.
Alt F2 will open a Run Command dialog box,type konqueror lower case and press Enter or the Run button to start in file manager mode,or just enter a URL www. konqueror. org to start konqueror as a browser.	Alt F2 izakuvula i Yenza umyalelo udidi lwebhokisi yencoko yababini,konqueror umzekelo osezantsi kwaye cinizela Ngena okanye i Yenza iqhosha ukuqala kwindlela yomphathi wefayile,okanye ngenisa nje i URL ukuqala konqueror njengomkhangeli zincwadi.
konqueror is also started automatically when you left click on a desktop icon that represents a folder,such as a hard disk drive or the Trash icon.	konqueror iqalwa nayo ngokuzenzekelayo xa ekhohlo nqakraza kwi desktop icon emele ulawulo,enjenge Umonakalo icon,okanye i URL.
The Parts of konqueror	Amaqela e konqueror
A brief look at the main parts of konqueror 's window	Ujongo olulula kumaqela angundoqo ewindow ye konqueror
Here's a screenshot of konqueror	Nalu udubulo lwekhusi le konqueror
The Titlebar is the strip across the top of konqueror 's window,and operates in the same way as for other kde applications. Right click on the central portion to bring up the neat Titlebar menu.	I Ibar yewonga ngumcu ngapha phezu kwe window ye konqueror kwaye isebenza ngendlela enye nezinye kde izicelo.Ekunene nqakraza kwisabelo esisezantsi ukuzisa imenu yebar yeWonga ecocekileyo.
The Bookmark Toolbar is the area under the Location Toolbar in the previous screenshot. You can add frequently used bookmarks here see the Organizing Your Bookmarks section of this document.	I Ibar yesixhobo yenqaku lencwadi yi ariya ephantsi kwe Ibar yendawo kudubulo lwekhusi oludlulileyo.Ungadibanisa amanqaku encwadi asetyenziswa rhoqo apha,bona i Uququzelela Amanqaku wakho encwadi icandelo lolu xwebhu.
Do n't worry if your konqueror does n't look exactly like this screenshot it is highly configurable. In particular	Sukubanexhala ukuba eyakho i konqueror ayikhangeleki ngqo njengolu dubulo lwekhusi,iqwalaselwe kakhulu kwaye akukho
You can use the Settings menu to choose whether to show or hide the Menubar,Main Toolbar,Location Toolbar and Bookmark Toolbar,or even to add an Extra Toolbar.	Ungasebeznisa i Izicwangciso menu ukukhetha ukubonisa okanye ukufihla iMenubar,Ibar yesixhobo,Ibar yendawo ne Bar yesixhobo ye Nqaku lencwadi.
You can also flatten the toolbars by left clicking on the vertical lines at the left hand end of the bars,or move them around by holding the LMB down while you drag these bars around.	Unga kwakhona camabalalisa Ibar yesixhobo,Ibar yendawo neBar yesixhobo ye Nqaku lencwadi nge LMB ukunqakraza kwilayini ezithe nkqo kwisiphelo sesandla sasekhohlo seebar okanye uzijikelezise ngokubamba i LMB iqhosha le mouse phantsi ngexesha utsala ezi bar jikelele.
For more details of how to change konqueror 's appearance,see the Configuring konqueror section	Iinkcukacha ezininzi zokutshintsha i konqueror inkangeleko,bona i Iqwalasela i konqueror icandelo
Tooltips and What's This	Uncedo lwesixhobo ne Yintoni Le
