input	target
Un J’ayǐ Azɔn Gègě Cobɔ É Wá Kpa Mì 12	I Failed Many Times Before I Succeeded 12
A ka Jló Na Jlɛ́ Nǔ E A Ði Nǔ Na lɛ É Dó Biblu Wu Kpɔ́n À 14	The Most Useful Comparison You May Ever Make 14
Ðò égbé ,ɖò xwè nǎ yì 250 gudo ɔ ,é cá kaka bɔ xixa tɔn nɔ vɛwǔ tawun .	Now ,less than 250 years later ,it has faded to the point of being barely legible .
È gbɛ́ Biblu e William Tyndale lilɛ dó Glɛnsigbe mɛ é ,è dó zo ,bo lɛ́ hu Tyndale ɔ ɖesu ɖò 1536 có ,lilɛdogbeɖevomɛ Biblu tɔn enɛ ɔ gézé	William Tyndale’s English translation of the Bible survived despite a ban ,Bible burnings ,and the execution of Tyndale himself in 1536
Ye fɔ Mawuxówema ɔ ɖé lɛ ɖó kplɔ́ngbasá yetɔn lɛ ,Mawuxówema ɖokpo enɛ lɛ wɛ jijimɛ e wá bɔ d’ewu lɛ é zán ,kaka jɛ Klisanwun lɛ jí . Mɛsɛ́dó 1521 .	In their synagogues ,the Jews kept copies of the Scriptures ​ — the same Scriptures that were used by future generations ,including Christians . Acts 1521 .
Akpáxwé Biblu ɔ tɔn lɛ na ko tíìn dó gbè 33 mɛ ɖò xwè kanweko 15gɔ́ ɔ sín tɛntin mɔ̌ ,cobɔ è wá ɖè mɔ e nɔ zín wema bɔ è sixu sɛ̀ tɛn na é tɔ́n .	Even before the movable - type printing press was invented in the middle of the 15th century ,portions of the Bible may have been available in as many as 33 languages .
Nɔtɛn sinsɛn - biblo tɔÐò xwè kanweko ɛnɛgɔ ɔ kpo wegɔ ɔ kpo J.H.M .tɔn tɛntin ɔ ,mɛ e wlan Pɛntateki Samalíinu lɛ tɔn lɛ é gɔ́ xó nú Tíntɔ́n 2017 bo ɖɔ ,ɖò Aargaareezem .	Between the fourth and second centuries B.C.E . ,the writers of the Samaritan Pentateuch inserted after Exodus 2017 the words in Aargaareezem .
Nùkplɔnmɛ atɔnɖobǔ tɔÈ fó Biblu ɔ b’ɛ kpò kpɛɖé b’ɛ na bló xwè 300 é ɔ ,wema wlantɔ́ e nɔ jɛhun dó Atɔnɖobǔ jí é ɖé gɔ́ xó nú 1 Jaan 57 bo ɖɔ ,ɖò jixwé ,Tɔ́ ɔ ,Xó ɔ ,kpo Gbigbɔ Mímɛ́ ɔbɔ atɔn enɛ lɛ nyí ɖokpo .	Less than 300 years after the Bible was completed ,a Trinitarian writer added to 1 John 57 the words in heaven ,the Father ,the Word ,and these three are one .
É ɖò mɔ̌ có ,ɖò 1 Jaan 57 mɛ ɔ ,ye gɔ́ xógbe masɔgbe e mǐ mɔ ɖò bǐbɛ̌mɛ xota elɔ tɔn lɛ é na .	Yet ,at 1 John 57 ,they had inserted the spurious words referred to earlier in this article .
Bruce Metzger wlan ɖɔ Nukɛgbe ɔ ee è gɔ́ nú 1 Jaan 57 é ɖò alɔnuwema Biblu tɔn xóxó lɛ Syriaque ,Copte - Gbè ,Arménie - Gbè ,Ethiopie - Gbè ,Arabe - Gbè ,Slave - Gbè ɖebǔ mɛ zɛ Latɛ́ɛngbe tɔn kɛɖɛ wu ǎ .	The passage at 1 John 57 is absent from the manuscripts of all ancient versions Syriac ,Coptic ,Armenian ,Ethiopic ,Arabic ,Slavonic ,except the Latin .
Chester Beatty P46 ,alɔnuwema Biblu tɔn e è sɔ́ fɛ́n dó bló ɖò xwè 200 H.M .mɔ̌ é ɖé	Chester Beatty P46 ,a papyrus Bible manuscript from about 200 C.E .
Mɛ̌ un ka nyí bo na bló mɔ̌ ​ — Ezayíi 408 .	To limit the power of the Almighty ​ — who am I to do that ​ — Isaiah 408 .
ɖò Atɔxwɛ Flansegbe Nùxwásun tɔn mɛ .	in the May ,issue of this magazine .
é ɖò www.jw.org jí .	at www.jw.org .
É nyɔ́ wà ɔ ,è nɔ ɖè mɛ e doya na wɛ é ɖè lɛ é sín mɛ mɛ ,bɔ ye ɖó na nɔ gb’akpá nú mɛ ɖevo lɛ dó ninɔmɛ yetɔn wu . Levíi ví lɛ .	Rather ,those afflicted by it were quarantined and were obliged to warn others of their condition . Leviticus .
É nɔ nya ye dó gbě ǎ ,é nyɔ́ wà ɔ ,é ɖò gbesisɔmɛ bo y’agba ye wu ,kaka bo tlɛ gbɔ azɔn nú ye . Matie 83 .	Rather than chasing lepers away ,he was willing to touch them ​ — and even heal them . Matthew 83 .
Mɛ Gbigbɛ́ Wema xwè 71 72 H.M .tɔn ɖé	Certificate of divorce dated from 71 72 C.E .
Enɛ wu wɛ ɖò ninɔmɛ ɖokpo mɛ ɔ ,Falizyɛn ɖé lɛ kàn nǔ elɔ byɔ Jezu dó tɛ́n ɛ kpɔ́ Sɛ́n mǐtɔn na gbè ɖɔ è ni ɖó dó nùɖé wu bo gbɛ́ asì mɛtɔn à ​ — Matie 193 .	Hence ,on one occasion ,Is it lawful for a man to divorce his wife on every sort of grounds ​ — Matthew 193 .
