input	target
Lee Mawu Nɔ Dó Gbɔ nú Mǐ Gbɔn É 4	La consolation que Dieu procure 4
Gbɔdónúmɛ Ðò Hwenu Wuvɛ̌ Tɔn lɛ Mɛ 6	Consolés en période d’épreuve 6
Mawu Mavɔmavɔ Wɛ Nɔ Na Ðuɖeji Mɛ 9	À Jéhovah appartient la bataille 9
Akpɔ̀ Nɔ Ðó Mì Bɔ Un Nɔ Xò Daka 14	J’étais violent et rempli d’amertume 14
Robert ,Luis ,Raquel kpo Julian kpo mɔ gbɔdónúmɛ ɖò ninɔmɛ wuvɛ̌ tɔn enɛ lɛ mɛ .	Robert ,Luis ,Raquel et Julian ont trouvé la consolation ,même dans des circonstances éprouvantes .
Un wá mɔ azɔ̌ dìn có ,mǐ hɛn gbɛzán mǐtɔn bɔkun sɔgbe kpo wěɖexámɛ Jezu tɔn e ɖò Matie mɛ é kpo .	Depuis j’ai retrouvé un travail ,mais nous gardons une vie simple ,en accord avec le conseil de Jésus en Matthieu .
É sín akwɛyózó e ɖò tò ɔ mɛ é wu bɔ xwè 20 sín azɔ̌ syɛnsyɛn e mǐ wà é wá huzu nǔ yayǎ .	Une crise économique a réduit à néant 20 ans de dur travail .
Un mɔ ɖɔ é na fífá ayi ce .	J’avais l’impression qu’il recollait tous les morceaux de mon cœur .
Un hɛn xó e mɛsɛ́dó Pɔlu ɖɔ ɖò Hlɔmanu lɛ 1221 mɛ é dó ayi mɛ ,é ɖɔ Ma jó hwiɖée dó nú nǔnyanyawiwa ɖu ɖò jǐ towe ó é nyɔ́ wà ɔ ,nɔ wà nǔ ɖagbe dó ɖu ɖò nǔ nyanya jí .	J’ai suivi le conseil de l’apôtre Paul en Romains 1221 Ne te laisse pas vaincre par le mal ,mais continue à vaincre le mal par le bien .
É xlɛ́ mì Nùnywɛtɔ́xó 36 bo ɖɔ nú mì kpo xomɛnyínyɔ́ kpo ɖɔ hwenu e mǐ ɖó na hɛn nǔ bú ’ dó é ɖè .	Il m’a montré Ecclésiaste 36 et m’a gentiment dit qu’il y a un temps où il faut se résigner à la perte .
Dìn ɔ ,é ɖó na nɔ nɔ jɔhɔn oxygène nu nú ganxixo 16 gbè ɖokpo .	Il a failli mourir à deux reprises et il est aujourd’hui sous oxygène 16 heures par jour .
Nǔ cí mɔ̌ nú Julian lɔmɔ̌ ,éyɛ ko ɖò xwi ɖí xá azɔn syɛnsyɛn e nɔ hu agbaza sín wǔjɔnú ɖé lɛ é ɖé wɛ sín ɖibla yì xwè 30 ɖíe .	Julian ,qui se bat contre une sclérose en plaques depuis presque 30 ans ,ressent la même chose .
É ɖɔ Nyì kpo asì ce kpo mɔ fífá e xó è ɖɔ ɖò Filipunu lɛ mɛ é .	En adressant des prières à Jéhovah ,ma femme et moi avons ressenti la paix dont parle Philippiens .
Amɔ̌ ,etɛ Davidi mɛ e nyí yɔkpɔvu é ka sixu wà dìn	Mais qu’est - ​ ce qu’un jeune homme comme David peut y faire
Davidi ka kpò ɖò yɔkpɔvu nugbǒ à	David est - ​ il vraiment un enfant
Ee mǐ ɖò tɔdo ɔ mɛ kpɔ́n sɛ́dó wɛ é ɔ ,é ɖɔ mǐ ni xà 1 Samuwɛli .	Alors que nous regardions la vallée ,il nous a fait lire 1 Samuel .
Dieu va - t - il m’exaucer	Dieu va - ​ t - ​ il m’exaucer
Zǐn LA BIBLE ET VOUS QUESTIONS BIBLIQUES	À retrouver sous LA BIBLE ET VOUS QUESTIONS BIBLIQUES .
Mɛ E tɔn wɛ É Adrián De la Fuente	Par Adrián De la Fuente
Hwenu e un ɖó xwè 16 é ɔ ,Jorge e kpo nyì kpo nyí xɔ́ntɔn ɖò vǔ é wá ba mǐ kpɔ́n ɖò xwégbe .	J’avais 16 ans quand un ami d’enfance nommé Jorge nous a rendu visite .
Wěɖexámɛ e ɖò 1 Kɔlɛntinu lɛ 1533 mɛ é d’alɔ mì .	Le conseil de 1 Corinthiens 1533 m’a aidé .
Wemafɔ Mawuxówema ɔ tɔn ɖevo e wà ɖagbe nú mì é wɛ nyí Hlɔmanu lɛ .	Un autre passage biblique qui m’a beaucoup touché est Romains .
Un kpò ɖò nukɔn yì wɛ ,bɔ ɖò 1991 ɔ ,un bló baptɛm bo huzu Kúnnuɖetɔ́ Jehovah Tɔn .	J’ai continué à progresser ,et en 1991 ,je me suis fait baptiser Témoin de Jéhovah .
È jɔwu mì bɔ un wà sinsɛnzɔ́ hwebǐnu tɔn sín azɔ̌ nú xwè 23 e wá yì lɛ é .	J’ai la joie d’être ministre à plein temps depuis 23 ans .
Hwenu e un ɖò finɛ é ɔ ,un xò gò Claudia ,ɖyɔvǐ Klisanwun azɔ̌syɛnsyɛnwatɔ́ ɖé wɛ ,bɔ mǐ wlí alɔ ɖò 1999 .	J’y ai rencontré Claudia ,une jeune chrétienne très dynamique nous nous sommes mariés en 1999 .
Watch Tower Bible and Tract Society of Pennsylvania	Watch Tower Bible and Tract Society of Pennsylvania
Sín 1879 wɛ è ko ɖò xójlawema elɔ ɖetɔ́n wɛ .	Cette revue paraît depuis 1879 .
Susu Mawu Mavɔmavɔ tɔn sín xlɛ̌ wɛ . Ezekiyɛli .	C’était l’aspect de la ressemblance de la gloire de Jéhovah Ézékiel .
Un mɔ jixwé ɖò hunhun ,bo mɔ Gbɛtɔ́ví ɔ ɖò te ɖò ɖisixwé nú Mawu .’ ​ — Mɛsɛ́dó .	Je contemple les cieux ouverts et le Fils de l’homme debout à la droite de Dieu Actes .
Mɛ wɔ̌bliba ɖò te nukɔn tɔn bo na sɛ̀n ɛ . Daniyɛli .	Mille milliers le servaient ,et dix mille fois dix mille se tenaient devant lui Daniel .
Biblu ɖɔ wɛnsagun lɛ xó hugǎn azɔn 250 .	La Bible mentionne les anges plus de 250 fois .
A sɔ́ ye dó bló axɔsuɖuto ,bo sɔ́ ye dó bló vɔsanúxwlémawutɔ́ lɛ sín axɔsuɖuto na ,bonu ye na wà azɔ̌ nú Mawu mǐtɔn ,bo na ɖu axɔsu dó ayikúngban jí . Nǔɖexlɛ́mɛ .	Tu Jésus as acheté pour Dieu des gens de toute tribu ,et langue ,et peuple ,et nation ,et tu as fait d’eux un royaume et des prêtres pour notre Dieu ,et ils doivent régner sur la terre Révélation .
É na .súnsún ɖasin bǐ sín nukún yetɔn mɛ kú sɔ́ na tíìn ǎ ,aluwɛ sɔ́ na tíìn ǎ ,alěnina sɔ́ na tíìn ǎ ,wuvɛ̌ mimɔ sɔ́ na tíìn ǎ nǔ xóxó lɛ ko bú .’ ​ — Nǔɖexlɛ́mɛ .	Les choses anciennes ont disparu Révélation .
SÍN xwè 3 000 jɛji ɖíe ɔ ,tɔ́gbó Jɔbu mɔ ɖɔ xɛ lɛ sixu kplɔ́n nǔ gègě mǐ dó nùɖíɖózɔ́ Mawu tɔn wu .	IL Y A plus de 3 000 ans ,le patriarche Job a compris que les oiseaux peuvent nous en apprendre beaucoup sur les œuvres de Dieu .
