input	target
Chester Beatty P46 ,alɔnuwema Biblu tɔn e è sɔ́ fɛ́n dó bló ɖò xwè 200 H.M .mɔ̌ é ɖé	Umwandiko wa Bibiliya wo ku rufunzo wandikishijwe intoki wo mu mwaka wa 200
Mɛ̌ un ka nyí bo na bló mɔ̌ ​ — Ezayíi 408 .	None se ndi iki ku buryo navuga ko Imana idashobora byose — Yesaya 408 .
Kpɔ́n xota Comment choisir une bonne traduction de la Bible ɖò Atɔxwɛ Flansegbe Nùxwásun tɔn mɛ .	Reba ingingo ivuga ngo Uko wahitamo Bibiliya ihinduye neza yo mu Munara w’Umurinzi wo ku itariki ya 1 Gicurasi 2008 .
É nyɔ́ wà ɔ ,è nɔ ɖè mɛ e doya na wɛ é ɖè lɛ é sín mɛ mɛ ,bɔ ye ɖó na nɔ gb’akpá nú mɛ ɖevo lɛ dó ninɔmɛ yetɔn wu . Levíi ví lɛ .	Icyakora ,ababaga bayirwaye bashyirwaga mu kato kandi bagombaga kuburira abandi kugira ngo batabegera . Abalewi .
Ði kpɔ́ndéwú ɔ ,sɛ́n yetɔn lɛ gbɛ́ ɖɔ mɛɖebǔ ni ma nɔ nɔ mɛtlukpo 2 dó gudunɔ ɖé ó .	Urugero amategeko ya ba rabi yavugaga ko hagati y’umubembe n’umuntu muzima hagombaga kuba intera ireshya na metero 2 .
Amɔ̌ ,enyi jɔhɔn ɖò nyinyi wɛ ɔ ,mɛɖebǔ ɖó na nɔ mɛtlukpo 45 dó gudunɔ lɛ ǎ .	Ariko iyo habaga hari umuyaga ,hagombaga gusigaramo intera ireshya na metero 45 .
É nɔ nya ye dó gbě ǎ ,é nyɔ́ wà ɔ ,é ɖò gbesisɔmɛ bo y’agba ye wu ,kaka bo tlɛ gbɔ azɔn nú ye . Matie 83 .	Aho kugira ngo yirukane ababembe ,yabakoragaho kandi akabakiza . Matayo 83 .
Mɛ Gbigbɛ́ Wema xwè 71 72 H.M .tɔn ɖé	urwandiko rw’ubutane rwo mu mwaka wa 71 72
Enɛ wu wɛ ɖò ninɔmɛ ɖokpo mɛ ɔ ,Falizyɛn ɖé lɛ kàn nǔ elɔ byɔ Jezu dó tɛ́n ɛ kpɔ́ Sɛ́n mǐtɔn na gbè ɖɔ è ni ɖó dó nùɖé wu bo gbɛ́ asì mɛtɔn à ​ — Matie 193 .	Ni yo mpamvu Abafarisayo babajije Yesu bamugerageza bati mbese amategeko yemera ko umugabo atana n’umugore we ku mpamvu iyo ari yo yose — Matayo 193 .
É ɖɔ nyì wɛn ɖɔ Enyi nyɔnu ɖé ma dó afɔ gbě ǎ ,bonu asú tɔn nya ɛ ,bo da nyɔnu ɖevo ɔ ,aga wɛ sunnu enɛ ɔ lɛ̀ . Matie .	Yarababwiye ati umuntu wese utana n’umugore we ,atamuhoye gusambana ,akarongora undi ,aba asambanye . Matayo .
Wǎn yí nú Mawu wɛ nyí è ni nyì sɛ́n tɔn lɛ sɛ́n tɔn lɛ ka vɛ́ nyì ǎ . 1 Jaan 53 .	ni uko twitondera amategeko yayo ,kandi amategeko yayo si umutwaro . 1 Yohana 53 .
Sísí ɖó nú alǒ xɛsi ɖi nú Mawu Mavɔmavɔ wɛ nyí wǎn gbɛ́ nú nǔ nyanya . Nùnywɛxó 813 .	Gutinya Yehova ni ukwanga ibibi . Imigani 813 .
Lin tamɛ dó Alex ,ee ko zán xwè 19 e wá yì lɛ é ɖò gankpa Brésil tɔn lɛ mɛ ,ɖó adakaxixo gègě wutu é sín kpɔ́ndéwú jí .	Reka dufate urugero rwa Alex wamaze imyaka 19 muri gereza yo muri Burezili azira ibikorwa by’urugomo .
É kplɔ́n Biblu kpo Kúnnuɖetɔ́ ɖé kpo bo wá huzu Kúnnuɖetɔ́ Jehovah Tɔn ɖò 2000 .	Mu mwaka wa 2000 ,Abahamya ba Yehova bamwigishije Bibiliya ,maze na we aba Umuhamya wa Yehova .
Gbɛ̀ e é zán kaka nú xwè 15 mɔ̌ é nɛ .	Ibyo yabimazemo imyaka 15 .
Kúnnuɖetɔ́ Jehovah Tɔn livi tantɔn jɛji ɖò tò 240 mɛ ko mɔ nukúnnú jɛ nǔ e na sú kún dó nú adakaxixo é mɛ .	Abahamya ba Yehova basaga miriyoni umunani baba mu bihugu 240 bavumbuye ibanga ryo kurandura urugomo .
Ɛɛn ,é ɖò taji ,enyi a jló na nyí Klisanwun lee Biblu kplɔ́n mɛ ɖó é ɔ nɛ .	Ibyo birakwiriye kubera ko byagufasha gukurikiza ibyo Bibiliya isaba Abakristo .
NÙKANBYƆMɛ̌ ka nyí Mawu	Imana ni nde
Enyi mǐ ɖò ɖɛ xò dó ta mitɔn mɛ wɛ hweɖebǔnu ɔ ,mǐ nɔ dokú nú Mawu Aklunɔ mǐtɔn Jezu Klisu sín Tɔ́ . Kolosinu lɛ 13 .	Buri gihe dushimira Imana ,Se w’Umwami wacu Yesu Kristo ,iyo dusenga tubasabira . Abakolosayi 13 .
Aklunɔ mǐtɔn ,Mawu mǐtɔn ,susu ,yɛ̌yi kpo hlɔnhlɔn kpo jɛxa we ,ɖó a bló nǔ bǐ . Nǔɖexlɛ́mɛ 411 .	Yehova Mana yacu ,birakwiriye ko ikuzo n’icyubahiro n’ububasha biba ibyawe ,kuko ari wowe waremye ibintu byose . Ibyahishuwe 411 .
Lɛ̌ kpɔ́n Hlɔmanu lɛ 1013 1 Timɔtée 117 .	Nanone reba mu Baroma 1013 1 Timoteyo 117 .
NÙKANBYƆMɛ̌ ka nyí Jezu Klisu	Yesu Kristo ni nde
Tɔ́ ɔ hugǎn mì . Jaan 1428 .	Data aranduta . ’ — Yohana 1428 .
Lɛ̌ kpɔ́n Matie 2639 1 Kɔlɛntinu lɛ 1528 .	Nanone reba muri Matayo 2639 1 Abakorinto 1528 .
NÙKANBYƆEtɛ ka nyí gbigbɔ mímɛ́	Umwuka wera ni iki
Mi na mɔ acɛ yí hwenu e gbigbɔ mímɛ́ na jɛte wá mi jí é . ​ Mɛsɛ́dó 18 .	Muzahabwa imbaraga umwuka wera nubazaho . Ibyakozwe 18 .
Lɛ̌ kpɔ́n Bǐbɛ̌mɛ 12 Mɛsɛ́dó 1038 .	Nanone reba mu Ntangiriro 12 Ibyakozwe 1038 .
NÙKANBYƆEtɛ ka nyí Axɔsuɖuto Mawu Tɔn	Ubwami bw’Imana ni iki
Bɔ é na ɖu axɔsu kaka sɔyi .’ — ​ Nǔɖexlɛ́mɛ 1115 .	Mu ijuru humvikana amajwi aranguruye agira ati ‘ ubwami bw’isi bubaye ubwami bw’Umwami wacu n’ubwa Kristo we ,kandi azaba umwami iteka ryose . ’ — Ibyahishuwe 1115 .
Lɛ̌ kpɔ́n Daniyɛli 244 Matie .	Nanone reba muri Daniyeli 244 Matayo .
NÙKANBYƆMɛ ɖagbe lɛ bǐ wɛ nɔ yì jixwé à	Ese abeza bose bajya mu ijuru
Lɛngbɔhwan kpɛví ,ma ɖi xɛsi ó ,ɖó Tɔ́ mitɔn jló ɖɔ mi ni ɖu axɔsu xá emi . ​ Luki 1232 .	Ntimutinye ,mwa mukumbi muto mwe ,kuko So yemeye kubaha ubwami . Luka 1232 .
Ye na nyí vɔsanúxwlémawutɔ́ nú Mawu kpo Klisu kpo ,bo na ɖu axɔsu xá Klisu . ​ Nǔɖexlɛ́mɛ 206 .	Bazaba abatambyi b’Imana na Kristo ,kandi bazategekana na we ari abami mu gihe cy’imyaka igihumbi . Ibyahishuwe 206 .
Lɛ̌ kpɔ́n Nǔɖexlɛ́mɛ .	Nanone reba mu Byahishuwe .
NÙKANBYƆEtɛ ka nyí jlǒ Mawu tɔn nú ayikúngban ɔ kpo gbɛtɔ́ lɛ kpo	Ni uwuhe mugambi Imana ifitiye isi n’abantu
Tò alǒ ayikúngban ɔ ka na nyí mɛ e nɔ sɔ́ yeɖée hwe lɛ tɔn ,bɔ fífá ma ɖó dogbó e ye na mɔ ɔ ,wɛ na nyí nǔ e na nɔ víví nú ye é . ​ Ðɛhan .	Abicisha bugufi bo bazaragwa isi ,kandi bazishimira amahoro menshi . Zaburi .
Lɛ̌ kpɔ́n Ðɛhan 3729 2 Piyɛ́ɛ 313 .	Nanone reba muri Zaburi 3729 2 Petero 313 .
Bonu sinsɛn ɖé na dó nyɔ́ Mawu nukúnmɛ ɔ ,é ɖó na jinjɔn nugbǒ Biblu tɔn jí . ​ Jaan .	Kugira ngo idini rishimishe Imana rigomba kuba ryigisha ukuri ko muri Bibiliya . Yohana .
Sinsɛn e jinjɔn linlin gbɛtɔ́ tɔn lɛ jí é nyí nǔ yayǎ . ​ Maki .	Amadini yigisha ibitekerezo by’abantu ntiyemerwa n’Imana . Mariko .
Mɛ e nɔ sɛ̀n Mawu ɖó kpɔ́ lɛ é ɖó na ɖi nǔ nú nǔ ɖokpo ɔ lɛ . ​ 1 Kɔlɛntinu lɛ .	Abasenga Imana bose bagomba kuba bahuje imyizerere . 1 Abakorinto .
Sinsɛn e Mawu yí gbè na é sín hagbɛ̌ lɛ nyí nɔvígbɛ́ ɖé gbɔn gbɛ̀ ɔ bǐ mɛ . ​ 1 Piyɛ́ɛ 217 .	Abari mu idini Imana yemera bagize umuryango w’abavandimwe ku isi hose . 1 Petero 217 .
