input	target
Un J’ayǐ Azɔn Gègě Cobɔ É Wá Kpa Mì 12	Nilishindwa Mara Nyingi Kabla ya Kushinda 12
A ka Jló Na Jlɛ́ Nǔ E A Ði Nǔ Na lɛ É Dó Biblu Wu Kpɔ́n À 14	Uchunguzi Muhimu Zaidi Unaoweza Kufanya 14
Nǔ ɔ nɛ è ko ɖyɔ nɛ	Biblia ilikuwa imebadilishwa
Ðò égbé ,ɖò xwè nǎ yì 250 gudo ɔ ,é cá kaka bɔ xixa tɔn nɔ vɛwǔ tawun .	Kufikia sasa hati hiyo ambayo hata haijafikia miaka 250 ,imechuja rangi hivi kwamba maandishi yake hayawezi kusomeka .
È gbɛ́ Biblu e William Tyndale lilɛ dó Glɛnsigbe mɛ é ,è dó zo ,bo lɛ́ hu Tyndale ɔ ɖesu ɖò 1536 có ,lilɛdogbeɖevomɛ Biblu tɔn enɛ ɔ gézé	Tafsiri ya Kiingereza ya William Tyndale iliokoka licha ya marufuku ,kuchomwa kwa Biblia na hata kuuawa kwa Tyndale mwenyewe mwaka wa 1536
Ye fɔ Mawuxówema ɔ ɖé lɛ ɖó kplɔ́ngbasá yetɔn lɛ ,Mawuxówema ɖokpo enɛ lɛ wɛ jijimɛ e wá bɔ d’ewu lɛ é zán ,kaka jɛ Klisanwun lɛ jí . Mɛsɛ́dó 1521 .	Wayahudi walihifadhi nakala za Maandiko katika masinagogi yao ,Maandiko ambayo yalitumiwa baadaye na vizazi vyao ,kutia ndani Wakristo .Matendo 1521 .
Nɔtɛn sinsɛn - biblo tɔÐò xwè kanweko ɛnɛgɔ ɔ kpo wegɔ ɔ kpo J.H.M .tɔn tɛntin ɔ ,mɛ e wlan Pɛntateki Samalíinu lɛ tɔn lɛ é gɔ́ xó nú Tíntɔ́n 2017 bo ɖɔ ,ɖò Aargaareezem .	Kati ya karne ya pili na ya nne K.W.K .,waandishi wa Pentateuki ya Wasamaria waliongezea maneno haya katika Kutoka 2017 katika Mlima Gerizimu .
Nùkplɔnmɛ atɔnɖobǔ tɔÈ fó Biblu ɔ b’ɛ kpò kpɛɖé b’ɛ na bló xwè 300 é ɔ ,wema wlantɔ́ e nɔ jɛhun dó Atɔnɖobǔ jí é ɖé gɔ́ xó nú 1 Jaan 57 bo ɖɔ ,ɖò jixwé ,Tɔ́ ɔ ,Xó ɔ ,kpo Gbigbɔ Mímɛ́ ɔbɔ atɔn enɛ lɛ nyí ɖokpo .	Miaka 300 hivi baada ya Biblia kuandikwa ,mwandishi wa fundisho la Utatu aliongezea maneno haya katika andiko la 1 Yohana 57 mbinguni ,Baba ,na Neno ,na Roho Mtakatifu ,na watatu hawa ni umoja .
È ka zán tɛnmɛ - nyikɔ enɛ lɛ ɖò Biblu mɛ nú Gbɛɖotɔ́ ɔ kɛɖɛ ǎ ,loɔ ,è lɛ́ zán nú gbɛtɔ́ lɛ ,nǔmɛsɛn lɛ ,kaka jɛ Awovi jí . Jaan 1 Kɔlɛntinu lɛ 2 Kɔlɛntinu lɛ 44 .	Majina hayo yanapotumiwa kwenye Biblia yanaweza kurejelea Muumba ,wanadamu ,vitu vinavyoabudiwa na hata Ibilisi .Yohana 1 Wakorintho 2 Wakorintho 44 .
É ɖò mɔ̌ có ,ɖò 1 Jaan 57 mɛ ɔ ,ye gɔ́ xógbe masɔgbe e mǐ mɔ ɖò bǐbɛ̌mɛ xota elɔ tɔn lɛ é na .	Hata hivyo ,kama ilivyotajwa mwanzoni mwa makala hii waliongeza maneno yasiyo sahihi katika 1 Yohana 57 .
Bruce Metzger wlan ɖɔ Nukɛgbe ɔ ee è gɔ́ nú 1 Jaan 57 é ɖò alɔnuwema Biblu tɔn xóxó lɛ Syriaque ,Copte - Gbè ,Arménie - Gbè ,Ethiopie - Gbè ,Arabe - Gbè ,Slave - Gbè ɖebǔ mɛ zɛ Latɛ́ɛngbe tɔn kɛɖɛ wu ǎ .	Maneno yaliyo kwenye 1 Yohana 57 hayapatikani kwenye hati zote za awali Kisiria ,Kikoptiki ,Kiarmenia ,Kiethiopia ,Kiarabu ,Kislavonia isipokuwa kwenye tafsiri ya Kilatini pekee .
Chester Beatty P46 ,alɔnuwema Biblu tɔn e è sɔ́ fɛ́n dó bló ɖò xwè 200 H.M .mɔ̌ é ɖé	Chester Beatty P46 ,hati ya mafunjo ya Biblia ya mwaka wa 200 W.K .
Biblu ɔ gézé bǐ .	Biblia iliokoka .
Mɛ̌ un ka nyí bo na bló mɔ̌ ​ — Ezayíi 408 .	Mimi ni nani nipinge nguvu za Mungu Isaya 408 .
Kpɔ́n WEMA LƐ VIDEO LƐ glɔ	Tafuta kwenye MACHAPISHO VIDEO
