input	target
A cause d'eux.	Yeedɛɛ we zɔn bɔ.
Tu verras qu'eux-mêmes sont propres.Mais les gens mêmes du pays.	A na mɔ ɖɔ ye dɛ ɖesu mɛ.Mɛɛ to ɔ mɛ ɖesu lɛ ɔ.
Non, il n'y a rien là.	Eo, nuɖe ɖo finɛ ă.
Oh Nous allons parler de la circoncision des hommes.	O Mi na ɖɔ xo ɖo adagbigbo sunnu lɛ tɔn ji.
C’est que la circoncision des hommes, c'est une chose qui est.qui.	Adagbigbo ɔ sunnu lɛ tɔn, nuɖe wɛ e nyi bɔ e ɖo, e ɖo…
Elle est primordiale pour les hommes…	E ɖo taji nu sunnu ɖokpo ɖokpo.
Oh La circoncision oh 	O, adagbigbo ɔ, o 
Un individu mâle qui naît doit faire la circoncision,	Gbɛtɔ sunnu ɖokpo jɔ ɖo wa gbo ada,
Cependant nous remarquons que des gens.que ce n’est pas tout le monde qui coupe.	Bɔ mi ka.mi mɔ ɖɔ je mɛ ɖe ke.mɛ bi ka nɔ gbo ă.
Certains le font quand ils sont jeunes,	Mɛ ɖe lɛ ɔ, ye nɔ gbo nu ye ɖo yɔkpɔvu,
d’autres coupent à un âge plus avancé.	mɛ ɖe lɛ, ye nɔ gbo nu ye ɖo mɛxo mɛ.
Ils sont vraiment des adultes, ils sont déjà à un âge.	E mɛxo tawun wɛ, e ko nɔ ɖo xwe…
à un âge déjà un peu éloigné.	e xwe ɔ ko nɔ sɛ yi kpɛɖe.
Mais ils les coupent,	Cobɔ e nɔ gbo nu ye,
Et ils sentent la douleur.	Bɔ e nɔ se wuvɛ enɛ ɔ.
Mais.je vois qu’il convienne qu’ils circoncisent les hommes.	Amɔ.nyɛ ka mɔ ɖɔ je mɛ ɖe que ye gbo ada nu sunnu ɔ.
Hé bien Ils montrent un homme bien.	Hɛɛn E nɔ xlɛ sunnu ganji.
Et cet homme s'est rapproché d'une femme à n’importe quelle heure,	Ye nɔ ɖɔ enɛ.sunnu.sunnu.sunnu ɖie.
Il est nu.	E, e, e ɖe nu.
Et le vodou qui surgit là, on voit que, oui, c'est bien	bɔ vodun ɔ.vodun.vodun.vodun.ɔ jɛ gbe ɖo finɛ ɔ, e nɔ mɔ ɖɔ ɛɛn ganji 
Ca lui sied bien.	E nyi nu bo.bo j'acɔ.
Et moi donc, je vois que.la circoncision.	Nyɛ ka mɔ ɖɔ je mɛ ɖe ke.e.adagbigbo ɔ.
Nous devons attendre pour circoncire nos enfants en bas âge.	Mi ɖo na nɔ te kpɔn bo na nɔ gbo nu vi mĭtɔn lɛ ɖo yɔkpɔvu mɛ adagbigbo sunnu tɔn mɛ ɔ.
Nous les couperons dans l’enfance.	Mi na gbo ye ɖo yɔkpɔvu mɛ.
De là la douleur va.elle va ainsi diminuer.	Hwenu, wuvɛ ɔ na nɔ.e na mɔ ɖe kpo.
C'est ce que certains me disent maintenant.	ɖo nyɛ mɛ ɖe bɔ ɖɔ xo din ɔ.
J’avais déjà presque six ans quand on m’a circoncis.	Un ko ɖo xwe ko yi dibla wɛ ayizɛn cobɔ e wa gb’ada nu mi ɖo ɔ.
J’ai senti une grande douleur et c’est resté dans mon esprit.	Un se wuvɛ enɛ ɔ bɔ e ci ayi ce mɛ.
Et je trouve que c’est une bonne chose.	Bɔ un ka mɔ ɖɔ nu ɖagbe ɖe wɛ.
Certaines jeunes femmes dans mon quartier,	Nyɔnuvi ɖe lɛ ɖo kartie ce,
qu'on trouve dans une maison avant la mienne,	xwe ɖe e nɔ mɔ cobɔ nɔ mɔ xwe ce ɔ
elles sont toutes nombreuses.	bɔ e mɛ bi hwii.
Elles ne sont plus des enfants, elles ont déjà grandi.	E mɛ ɖebu sɔ yi yɔkpɔvu a, e ko su.
Donc, elles sont déjà grandes	Donk, ye ko su
donc elles vont prendre un mari normalement.	bɔ e na da su normaleman.
Mais elles sont là seulement pour commérer sur les autres,	mais ye ɖo finɛ bo kpo nu e na nɔ ɖɔ mɛ ɖevo sin xo,
ce qui constitue leur grande perversion.	nu e hɛn eɖee gble tawun ɔ n’ɛ.
Et si tu passes devant elles,	bo nu a ɖo dindin wɛ ɔ,
elles trouveront une histoire pour parler précisément de toi.	ye na mɔ xo ɖe bɔ na ɖɔ ɖo sin towe jɛn wɛ.
Et elles s’enorgueillissent et font comme les gens importants.	Bɔ ye nɔ yi go bo nɔ blo mɛjɔmɛ.
Or ce sont des personnes et personne ne s’intéresse ainsi à elles	Or e ka nyi mɛ ɖe bo.bɔ mɛ ɖe nɔ kpɔn e ji sɔ mɔ ɖe a
Même les hommes qui viennent chez elles,	Mɛme sunnu ɖe nɔ wa e gɔn lɛ ɔ,
des hommes qui n’ont rien à faire et qui viennent séjourner chez elles.	sunnu ɖe ma ɖo nuɖe na wa a lɛ nɔ wa ci e gɔn.
Et elles se rassemblent là,	Bɔ ye nɔ kple ɖo finɛ,
et si quelqu’un maintenant est là, elles parleront de la personne.	bo nu mɛɖe din ɔ, ye na ɖɔ mɛ ɔ sin xo.
Et si les gens ont entendu	Bo nu mɛ ɔ se
et demandent des explications, elles cherchent querelle.	bɔ kan byɔ, ye nɔ yi jlɛ.
Et elles se groupent pour insulter la personne ou bien elles vont se bagarrer avec les gens.	Bɔ ye nɔ kple bo nɔ zun mɛ ɔ kabi ye na xo xa mɛ ɔ.
C'est la seule chose qu’elles savent leur faire	Nu ɖokpo ɖe ye tuun bɔ nɔ wa n’ɛ sin.
Sinon, en fait, ce sont toutes des personnes qui résident là maintenant.	Sinɔn an fɛti, ye mɛ bi ɖo finɛ din ɔ.
Aucune n’est déjà partie dans la maison d’un homme jusqu'à présent.	Ye mɛ ɖebu ko yi asu xwe kaka jɛ din a.
A Cotonou, c’est la corruption.	Ɖo Kutɔnu fi ɔ, nu ɖuɖo nu mɛ
Les Yovos appellent cela corruption.	Yovo lɛ nɔ ylɔ ɖɔ corruption
Il y en a beaucoup	E sukpɔ tawun
C’est pourquoi le nouveau président qu’on a élu au Bénin	E wɛzɔn bɔ President yɔyɔ emi ze ɖo Benɛn ɔ
Il s’appelle Président Yayi Boni	Ye nɔ ylɔ ɛ ɖɔ President Yayi Boni
Il est en train de mettre la main sur tout ce qui constitue la corruption	E ɖo alɔ ɖo nu mɔnkɔntɔn ji wɛ nu ɖuɖo nu mɛ ɔ
En quoi ça consiste Si tu veux aller faire un papier quelque part maintenant	E wɛ nyi etɛ E a jɛn blo wema ɖo fiɖe din ɔ
Et déposer tes papiers	Bo ɖo deposer wema towe lɛ
Pour prendre les papiers, ceux-ci devraient être prêts	Bo nɔ wa yi wema ɔ, nu ɔ na sɔgbe ganji le co
Ils vont te dire que ce n’est pas prêt	Ye na ɖɔ nu e ɖɔ jre e kun sɔgbe o
Et tu vas faire les allers-retours	Bɔ a na yi bo na ɖo yiyi wɛ bo na ɖo wiwa wɛ
Jusqu’à ce que tu dépenses une certaine somme d’argent que tu as apportée	Kaka bɔ a sin zan kwɛ nebiɖe a ka ze
Si tu as apporté de l’argent sur le papier tout de suite, ils s’occupent de la personne	Kwɛ ɖe ɖo wema ji ɔ trolo ye nɔ blo nu mɛ
C’est très mauvais pour le Bénin	Enɛ ɔ nyila tawun ɖo Bɛnɛn fi
C’est la carte d’identité que tu veux faire, le passeport que tu veux faire	Carte d’identité blo gbe a ja, passeport blo gbe a ja
Si tu ne mets pas l’argent dessus le papier	A ma ze kwɛ ɖe ɖ’eji wema ji a
Eux-mêmes ils disent	Eɖɛ lɔ ɖesu nɔ ɖɔ
Si tu ne mets pas un morceau de brique sur le papier, le vent l’emporte	A ma ze hwan ɖo wema ji a jɔhɔn na ze wema
Mettre la brique sur le papier veut dire que tu donnes de l’argent	E wɛ yeɖɛ a ɖo na ze hwan ɖo wema ji hwan ɔ e ɖo kwɛ ɔ nyi wɛ
Tu dois mettre l’argent sur le papier pour que les formalités soient faites	A ɖo na ze kwɛ ɖe ɖo wema ɔ ji cobɔ wema ɔ na ya wu tɔn nu we
De même les militaires, les policiers eux aussi	Mɔ ɖokpo ɔ ɖo militɛ lɛ kponɔ lɛ ɖesu sin kan mɛ
Si tu roules en moto, tu brûles le feu	A lo kɛkɛ kun wɛ O brule feu
Ou bien tu as beaucoup de bagages ou tu es en surcharge	Abi o a hɛn agban ɖe abi a ɖo surcharge
Et tu passes	Bo wa ɖo yiyi wɛ
Ils prennent 1000 F, 2000 F	Ye na yi kwɛ caki ɖokpo caki we
F et ils te laissent partir	Kpɔn wewe bo na jo wɛ ɖo bo na ɖɔ hwɛ n’i yi
C’est tout ça qui laisse le pays en arrière	Enɛ lɛ byɔ e nɔ ɖo to ɔ dɔn ɖo dɔn gudo wɛ
Et nous-mêmes on ne s’en rend pas compte	Bɔ miɖɛ ɖesu mi tuun a
Et Yayi Boni est venu maintenant.De toutes ces choses, il veut y mettre fin	E Yayi Boni ka wa din ɔ nu enɛ lɛ bi ɛ e jan gun kun nu enɛ lɛ bi
Mais il Monsieur travaille correctement sur le pays	Dawe ɔ ka ɖo azɔn wa wɛ tawun ɖo to ɔ wu
La fois passée, j’étais parti sur la voie de l’aéroport	Azan nabiɖe un nɔ nyi aeroport sin ali ɔ ji dɔn
Ils ont réparé la voie de l’aéroport	E blo aeroport sin ali ɔ ɖo bi
Et ils ont construit de belles maisons derrière l’aéroport au bord de la mer	Bɔ ye gba xwe ɖagbeɖagbe ɖe lɛ ɖo aeroport gudo finɛ ɖo xo ɔ ta bɔ
Vraiment si tu vois cela, tu vas dire que Cotonou a changé	Eo a mɔ a na ɖɔ Kutɔnu din ɔ
Mais les gens qui sont morts	Mɛ ye ko ku lɛ ɔ
Ce sont eux qui ne peuvent plus voir tout ça là	Yeɖɛ jɛ ma sɔ sin mɔ nu elɔ lɛ a
C’est pourquoi la mort n’est pas une bonne chose	E wɛzɔn bɔ ku ɔ, e nyi nu ɖagbe ɖe a
Si tu es en vie, tu vas tout voir	A ɖo gbɛ jɛn wɛ ɔ ye nɔ wa mɔ nu
Tu es bien réveillé 	A fɔn ganji à 
Tu es en bonne santé 	A ɖo kɛɖɛ à 
Oui, tu as dit que tu viens au Dahomey le ventre du serpent, dans notre pays.	Enɛ, a ɖɔ emi na wa Danxomɛ, to mitɔn mɛ.
Dans le pays du roi Xwebaja.	Dada Xwebaja sin to mɛ.
Au pays du roi Xwebaja, si nous trouvons l’étranger, nous le recevons très bien.	Dada Xwebaja sin to mɛ fi ɔ, mi mɔ jonɔ ɔ, mi nɔ yi ganji.
Vous les Blancs, à la peau blanche…	Mi mɛ Yovo, anyŭ wewenɔ lɛ ɔ…
Mi vous venez dans notre pays, on doit vous recevoir parce que…	Mi wa to mitɔn mɛ ɔ, mi na yi mi ɖo ɔ.
Nos grands rois, nos ancêtres, les grands-pères…	Dada mitɔn lɛ, tɔ́gbó mitɔn lɛ, grand-papa lɛ…
C’est déjà eux qui ont fondé petit à petit notre pays.	Ye wɛ ko sɔ to mitɔn sɔ syan ayi kpɛɖe.
Ils l’ont fondé correctement tel qu’il doit être.	Đe e ka na nɔ bɔ nyɔ e ɔ e wɛ e sɔ ɖo.
Est-ce que tu vois ce que je suis en train de dire Donc 	A mɔ a, a ɖo mɔ jɛ mɛ ce a Hun 
Oh Ce qu’on est en train de dire, c’est que en parlant d’Abomey, c’est nos grands rois qui ont pris… dans le ventre.	O Nu e ɖɔ miɖee bo ɖo Agbomey ɔ ɖɔ wɛ ylɔ dada mitɔn lɛ wɛ e ze… xo mɛ.
Dans les ventres… Ils les ont couvert avec une calebasse en disant qu’on ne voit pas ce qui se passe dans notre ventre.	Aɖɔgò mɛ lɛ ɔ… Ye sɔ xwe ka ɖo bo ɖɔ ye kun nɔ mɔ nukun nu jɛ aɖɔgo mɛ o.
On raconte à propos du roi Xwegbaja Kasudo, on ne peut ouvrir la calebasse pour regarder.	E ɖɔ yeɖee bo nɔ ɖɔ dada Xwegbaja Kasudo ye nɔ hun kpɔn a.
Comme ça tu as bien compris, donc, que dans votre pays ici, il y a le bien.	A mɔ nukun nu jɛ mɛ a Hun To mitɔn mɛ e ɖo fi ɔ, ɖagbe ɖo fi.
Il y a l’argent.	Akwɛ ɖo fi.
Il y a tout.	Nu bi ɖo fi.
Mais dans votre pays, il y a plus de l’argent qu’ici.	A mɔ to miɖɛ lɛ tɔn lɛ ɔ, e ɖo kwɛ hu fi.
Est-ce que tu m’as compris 	A mɔ… a ɖo mɔ jɛ mɛ ce a 
Donc Mais là où vous êtes venus ici maintenant.	Hun Fi ɛ emi wa din e ɔ.
je vous remercie de venir de là-bas, de très loin.	E na cɛ nu mi emi nɔ tɔn kpo sin sɔ dɔn.
Et parce que vous venez ici, je vous en remercie.	Lo nɔ wa fi ɔ, e na cɛ nu mi.
et vous venez tous ici, vous viendrez comme il convient et vous repartirez comme il convient.	bɔ mi bi wa, mi na wa ɖo ganji bo na lɛ vɔ yi ganji
et d’être bons vous ouvrira le chemin et tout ce vous cherchez en venant ici, vous le trouverez.	bɔ ɖagbe na hun ali nu mi bɔ nu e ba miɖe bɔ wa fi ɔ mi na mɔ bi
Est-ce que tu me comprends 	A ɖo mɔ jɛ mɛ ce a 
Donc Moi, je m’appelle Kiki.	Hun Nyɛ ɔ Kiki wɛ nɔ nyi.
Et vous êtes venus chez moi.	Bɔ mi wa gɔn ce.
Lorsque vous êtes donc venus chez moi, votre intention de venir ici ne nous échappera pas.	Mi ka wa gɔn ce e ɔ, nu e gbe mitɔn wa fi ɔ, e na bu ɖo mi a.
La providence ne vous abandonnera pas.	Gbɛ nu na bu ɖo mi a.
Tout ce que vous prenez pour faire, vous devez le faire bien.	Sɔ unɖe bo na wa mi na wa ganji.
