input	target
Cette revue paraît depuis 1879 .	Sín 1879 wɛ è ko ɖò xójlawema elɔ ɖetɔ́n wɛ .
Un besoin commun à tous 3	Mǐ Bǐ Wɛ Ðó Hudo Gbɔdónúmɛ Tɔn 3
La consolation que Dieu procure 4	Lee Mawu Nɔ Dó Gbɔ nú Mǐ Gbɔn É 4
Consolés en période d’épreuve 6	Gbɔdónúmɛ Ðò Hwenu Wuvɛ̌ Tɔn lɛ Mɛ 6
À Jéhovah appartient la bataille 9	Mawu Mavɔmavɔ Wɛ Nɔ Na Ðuɖeji Mɛ 9
J’étais violent et rempli d’amertume 14	Akpɔ̀ Nɔ Ðó Mì Bɔ Un Nɔ Xò Daka 14
Robert ,Luis ,Raquel et Julian ont trouvé la consolation ,même dans des circonstances éprouvantes .	Robert ,Luis ,Raquel kpo Julian kpo mɔ gbɔdónúmɛ ɖò ninɔmɛ wuvɛ̌ tɔn enɛ lɛ mɛ .
Depuis j’ai retrouvé un travail ,mais nous gardons une vie simple ,en accord avec le conseil de Jésus en Matthieu .	Un wá mɔ azɔ̌ dìn có ,mǐ hɛn gbɛzán mǐtɔn bɔkun sɔgbe kpo wěɖexámɛ Jezu tɔn e ɖò Matie mɛ é kpo .
Une crise économique a réduit à néant 20 ans de dur travail .	É sín akwɛyózó e ɖò tò ɔ mɛ é wu bɔ xwè 20 sín azɔ̌ syɛnsyɛn e mǐ wà é wá huzu nǔ yayǎ .
J’avais l’impression qu’il recollait tous les morceaux de mon cœur .	Un mɔ ɖɔ é na fífá ayi ce .
J’ai suivi le conseil de l’apôtre Paul en Romains 1221 Ne te laisse pas vaincre par le mal ,mais continue à vaincre le mal par le bien .	Un hɛn xó e mɛsɛ́dó Pɔlu ɖɔ ɖò Hlɔmanu lɛ 1221 mɛ é dó ayi mɛ ,é ɖɔ Ma jó hwiɖée dó nú nǔnyanyawiwa ɖu ɖò jǐ towe ó é nyɔ́ wà ɔ ,nɔ wà nǔ ɖagbe dó ɖu ɖò nǔ nyanya jí .
Il m’a montré Ecclésiaste 36 et m’a gentiment dit qu’il y a un temps où il faut se résigner à la perte .	É xlɛ́ mì Nùnywɛtɔ́xó 36 bo ɖɔ nú mì kpo xomɛnyínyɔ́ kpo ɖɔ hwenu e mǐ ɖó na hɛn nǔ bú ’ dó é ɖè .
Il a failli mourir à deux reprises et il est aujourd’hui sous oxygène 16 heures par jour .	Dìn ɔ ,é ɖó na nɔ nɔ jɔhɔn oxygène nu nú ganxixo 16 gbè ɖokpo .
