input	target
Nna m ka m ukwuu . Jọn 14 28 .	Tɔ́ ɔ hugǎn mì . Jaan 1428 .
Gụọkwa Matiu Ndị Kọrịnt 15 28 .	Lɛ̌ kpɔ́n Matie 2639 1 Kɔlɛntinu lɛ 1528 .
AJỤJỤ Gịnị bụ mmụọ nsọ	NÙKANBYƆEtɛ ka nyí gbigbɔ mímɛ́
Ka Elizabet nụrụ ekele Meri ,nwa nọ ya n’afọ maliri Elizabet jupụtakwara na mmụọ nsọ . Luk 1 41 .	Ee Elizabɛti sè gbedómɛ Mali tɔn lě é ɔ ,vǐ e ɖò xò tɔn mɛ é danwǔ ,bɔ gbigbɔ mímɛ́ gɔ́ ayi mɛ nú Elizabɛti . ​ Luki 141 .
Unu ga - anata ike mgbe mmụọ nsọ ga - adakwasị unu . Ọrụ Ndịozi 1 8 .	Mi na mɔ acɛ yí hwenu e gbigbɔ mímɛ́ na jɛte wá mi jí é . ​ Mɛsɛ́dó 18 .
Gụọkwa Jenesis 1 2 Ọrụ Ndịozi .	Lɛ̌ kpɔ́n Bǐbɛ̌mɛ 12 Mɛsɛ́dó 1038 .
AJỤJỤ Gịnị bụ Alaeze Chineke	NÙKANBYƆEtɛ ka nyí Axɔsuɖuto Mawu Tɔn
Oké olu wee kwuo okwu n’eluigwe ,sị Alaeze nke ụwa aghọwo alaeze nke Onyenwe anyị na nke Kraịst ya ,ọ ga - achịkwa dị ka eze ruo mgbe niile ebighị ebi .’ — Mkpughe 11 15 .	Bɔ é na ɖu axɔsu kaka sɔyi .’ — ​ Nǔɖexlɛ́mɛ 1115 .
Gụọkwa Daniel 2 44 Matiu 6 .	Lɛ̌ kpɔ́n Daniyɛli 244 Matie .
AJỤJỤ Ndị ezi omume niile hà ga - aga eluigwe	NÙKANBYƆMɛ ɖagbe lɛ bǐ wɛ nɔ yì jixwé à
Unu atụla egwu ,ìgwè atụrụ nta ,n’ihi na ọ dị Nna unu mma inye unu alaeze . Luk 12 32 .	Lɛngbɔhwan kpɛví ,ma ɖi xɛsi ó ,ɖó Tɔ́ mitɔn jló ɖɔ mi ni ɖu axɔsu xá emi . ​ Luki 1232 .
Ha ga - abụ ndị nchụàjà nke Chineke na nke Kraịst ,ha ga - esokwa ya chịa dị ka ndị eze . Mkpughe 20 6 .	Ye na nyí vɔsanúxwlémawutɔ́ nú Mawu kpo Klisu kpo ,bo na ɖu axɔsu xá Klisu . ​ Nǔɖexlɛ́mɛ 206 .
Gụọkwa Mkpughe 14 .	Lɛ̌ kpɔ́n Nǔɖexlɛ́mɛ .
AJỤJỤ Gịnị bụ uche Chineke maka ụwa a na ụmụ mmadụ	NÙKANBYƆEtɛ ka nyí jlǒ Mawu tɔn nú ayikúngban ɔ kpo gbɛtɔ́ lɛ kpo
Ndị dị umeala n’obi ga - enweta ụwa ,ha ga - enwekwa obi ụtọ dị ukwuu n’ihi udo nke zuru ebe niile . Abụ Ọma 37 .	Tò alǒ ayikúngban ɔ ka na nyí mɛ e nɔ sɔ́ yeɖée hwe lɛ tɔn ,bɔ fífá ma ɖó dogbó e ye na mɔ ɔ ,wɛ na nyí nǔ e na nɔ víví nú ye é . ​ Ðɛhan .
Gụọkwa Abụ Ọma Pita 3 13 .	Lɛ̌ kpɔ́n Ðɛhan 3729 2 Piyɛ́ɛ 313 .
Okpukpe dị́ Chineke mma bụ nke na - akụzi eziokwu dị́ na Baịbụl . Jọn 4 .	Bonu sinsɛn ɖé na dó nyɔ́ Mawu nukúnmɛ ɔ ,é ɖó na jinjɔn nugbǒ Biblu tɔn jí . ​ Jaan .
Okpukpe ndị na - akụzi ihe ndị mmadụ chepụtara na - efe Chineke n’efu . Mak 7 .	Sinsɛn e jinjɔn linlin gbɛtɔ́ tɔn lɛ jí é nyí nǔ yayǎ . ​ Maki .
Ndị na - efe Chineke kwesịrị ịna - ekwu otu ihe . 1 Ndị Kọrịnt 1 .	Mɛ e nɔ sɛ̀n Mawu ɖó kpɔ́ lɛ é ɖó na ɖi nǔ nú nǔ ɖokpo ɔ lɛ . ​ 1 Kɔlɛntinu lɛ .
Ndị niile nọ́ n’okpukpe dị́ Chineke mma bụ ụmụnna n’agbanyeghị ebe ha bi n’ụwa . 1 Pita 2 17 .	Sinsɛn e Mawu yí gbè na é sín hagbɛ̌ lɛ nyí nɔvígbɛ́ ɖé gbɔn gbɛ̀ ɔ bǐ mɛ . ​ 1 Piyɛ́ɛ 217 .
A MỤRỤ M N’AFỌ 1953	È JÌ MÌ ÐÒ1953
N’afọ 1949 ,papa m si Jamanị kwaga Ọstrelia .	Tɔ́ ce sɛ̀ tɛn sín Allemagne wá yì Australie ɖò 1949 .
Ebe ahụ ka ọ nọ lụọ mama m ,ha amụọkwa m n’afọ 1953 .	Finɛ wɛ é da nɔ ce ɖè ,bɔ ye jì mì ɖò 1953 .
Ọ gwara anyị na ụwa ga - aghọ paradaịs ,gwakwa anyị na anyị ga na - enwe obi ụtọ ma anyị na - eme ihe Baịbụl kwuru . Abụ Ọma 37 Aịzaya 48 17 .	É ɖɔ palaɖisi ayikúngban jí tɔn sɔgudo tɔn ɔ kpo awǎjijɛ e nugbodòdó Biblu tɔn lɛ xwixwedó sixu hɛn wá nú mǐ é kpo sín xó nú mǐ . ​ Ðɛhan Ezayíi 4817 .
Mụ na nwunye m mechara gbasaa ,ndụ m aghasaakwa .	Un wá xoɖɛ sɛ́dó Jehovah kpo ayi ce bǐ kpo .
N’afọ 1999 ,e mere m baptizim ,mụ aghọọ Onyeàmà Jehova .	Ðò 1999 ɔ ,un bló baptɛm bo huzu Kúnnuɖetɔ́ Jehovah Tɔn ,bɔ ali e hun nú mì azɔn wegɔ ɔ bonu má zán gbɛ̀ mímɛ́ ,awǎjijɛ gbɛ̀ é sù nukún ce mɛ tawun .
Ilu 3 kwuru ,sị Jiri obi gị dum tụkwasị Jehova obi ,adaberekwala ná nghọta gị .	Xó nugbǒ tawun wɛ Nùnywɛxó ɖɔ
Ime ihe ndị m na - amụta na Baịbụl na - echebe m ,na - emekwa ka ihe na - agaziri m . Abụ Ọma 1 .	É nyí alɔ kɛɖɛ wɛ nugbodòdó Biblu tɔn lɛ nɔ cyɔn mɛ jí ǎ ,loɔ ,ganjɛwu ɖuɖeji tɔn wɛ ye lɛ́vɔ nyí . ​ Ðɛhan .
Baịbụl n’onwe ya kwuru ,sị Ahịhịa ndụ akpọnwụwo ,okooko ya achanwụwo ma okwu Chineke anyị ga - adịgide ruo mgbe ebighị ebi . Aịzaya 40 8 .	Biblu ɔ ɖesunɔ ɖɔ Gbehan nɔ xú ,folowa nɔ mlú ɖa ,amɔ̌ ,xó e Mawu mǐtɔn ɖɔ ɔ na nɔ ayǐ kaka sɔyi . Ezayíi 408 .
Watch Tower Bible and Tract Society of Pennsylvania	Watch Tower Bible and Tract Society of Pennsylvania
Ndịàmà Jehova na - ebipụta magazin a kemgbe afọ 1879 .	Sín 1879 wɛ è ko ɖò xójlawema elɔ ɖetɔ́n wɛ .
Nkasi Obi Dị Anyị Niile Mkpa 3	Mǐ Bǐ Wɛ Ðó Hudo Gbɔdónúmɛ Tɔn 3
Otú Chineke Si Akasi Mmadụ Obi 4	Lee Mawu Nɔ Dó Gbɔ nú Mǐ Gbɔn É 4
Otú Chineke Si Akasi Anyị Obi n’Oge Nsogbu 6	Gbɔdónúmɛ Ðò Hwenu Wuvɛ̌ Tɔn lɛ Mɛ 6
Ọ Bụ Jehova Nwe Agha A 9	Mawu Mavɔmavɔ Wɛ Nɔ Na Ðuɖeji Mɛ 9
M Na - ewebu Iwe Ọkụ ,Na - alụkwa Ọgụ 14	Akpɔ̀ Nɔ Ðó Mì Bɔ Un Nɔ Xò Daka 14
Obi gbawara m ,ya ana - adịkwa m ka onye a manyere ogologo mma agha n’ahụ́ otú ahụ Baịbụl kwuru . Luk 2 35 .	Enɛ gudo ɔ ,un wá jɛ wuvɛ̌ sè jí ,wuvɛ̌ e Biblu sɔ́ jlɛ́ dó hwǐ xò ayi mɛtɔn zlɛ ɖɔhun wu é wɛ un sè . Luki 235 .
Devid kwuru ,sị O nyewokwara m aka ,nke mere na obi m na - enwe aṅụrị . Abụ Ọma 28 .	Davidi ɖɔ gɔ́ na ɖɔ É nɔ gɔ́ alɔ nú mì xomɛ ɖò hunhun mì wɛ . Ðɛhan .
Ihe niile e dere n’oge gara aga ,e dere ha iji nye anyị ntụziaka ,ka anyị wee site ná ntachi obi anyị na nkasi obi sitere n’Akwụkwọ Nsọ nwee olileanya . Ndị Rom 15 4 .	Nǔ e è ko wlan dó Mawuxówema ɔ mɛ ɖ’ayǐ xóxó lɛ bǐ ɔ ,è wlan ye ,bo na dó kplɔ́n nǔ mǐ ,bonu mǐ na ɖó nukún nǔ gbɔn sɔxwixwe kpo akɔnkpinkpan alǒ gbɔdónúmɛ e Mawuxówema ɔ nɔ na mǐ ɔ kpo gblamɛ . Hlɔmanu lɛ 154 .
Kama ,ka anyị mee ka Chineke mara ihe anyị na - arịọ udo nke Chineke nke karịrị echiche niile ga - eche obi anyị na ike iche echiche anyị nche .’ — Ndị Filipaị 4 .	Enɛ ɔ ,fífá Mawu tɔn e hugǎn nukúnnúmɔjɛnǔmɛ gbɛtɔ́ tɔn bǐ ɔ na bló ayixa mitɔn kpodo linlin mitɔn lɛ kpo ɖó . Filipunu lɛ .
