input	target
Igitangaje ariko ,ni uko muri 1 Yohana 57 bongeyemo ikosa twigeze kuvuga muri iyi ngingo .	É ɖò mɔ̌ có ,ɖò 1 Jaan 57 mɛ ɔ ,ye gɔ́ xógbe masɔgbe e mǐ mɔ ɖò bǐbɛ̌mɛ xota elɔ tɔn lɛ é na .
Bruce Metzger yaranditse ati ayo magambo 1 Yohana 57 ntaboneka mu nyandiko za kera zandikishijwe intoki inyandiko y’igisiriyake ,igikobute ,icyarumeniya ,ikinyetiyopiya ,icyarabu ,n’iy’igisilave ,uretse mu kilatini gusa .	Bruce Metzger wlan ɖɔ Nukɛgbe ɔ ee è gɔ́ nú 1 Jaan 57 é ɖò alɔnuwema Biblu tɔn xóxó lɛ Syriaque ,Copte - Gbè ,Arménie - Gbè ,Ethiopie - Gbè ,Arabe - Gbè ,Slave - Gbè ɖebǔ mɛ zɛ Latɛ́ɛngbe tɔn kɛɖɛ wu ǎ .
Umwandiko wa Bibiliya wo ku rufunzo wandikishijwe intoki wo mu mwaka wa 200	Chester Beatty P46 ,alɔnuwema Biblu tɔn e è sɔ́ fɛ́n dó bló ɖò xwè 200 H.M .mɔ̌ é ɖé
Igihe abahanga mu bya Bibiliya bavumburaga imizingo ya Bibiliya yo ku Nyanja y’Umunyu mu mwaka wa 1947 ,ni bwo bagereranyije umwandiko w’Igiheburayo wanditswe n’Abamasoreti n’uwari umaze imyaka isaga igihumbi wanditswe mu mizingo ya Bibiliya .	Hwenu e è mɔ Wema Mlámlá Xù Kúkú ɔ Tɔn Lɛ ɖò 1947 é ɔ ,akɔwé Biblu tɔn lɛ wá kpéwú bo jlɛ́ nùwlanwlan Massorète lɛ tɔn e ɖò Ebléegbe mɛ lɛ é dó nǔ e ɖò wema mlámlá Biblu tɔn e è wlan sín xwè afatɔ́n jɛji jɛ nukɔn lɛ mɛ é wu .
Inzu y’ibitabo yitiriwe Chester Beatty iri i Dublin muri Irilande ,yakusanyirijwemo inyandiko zose zanditse ku mfunzo zirimo ibintu hafi ya byose byo mu bitabo by’Ibyanditswe by’ikigiriki bya gikristo ,hakubiyemo n’inyandiko zandikishijwe intoki zo mu kinyejana cya kabiri ,zanditswe hashize imyaka 100 Bibiliya irangije kwandikwa .	Ðò wemasɛxwetɛn The Chester Beatty Library Dublin tɔn ɖò Irlande ɔ ,è tɛ́ fɛ́n e jí Akpáxwé Biblu Tɔn E È Wlan Dó Glɛkigbe Mɛ É sín wema ɖokpo ɖokpo ɖè é ,bɔ alɔnuwema Biblu tɔn xwè kanweko wegɔ H.M .tɔn lɛ lɔmɔ̌ ɖ’emɛ è fó Biblu ɔ wlanwlan é ɔ ,xwè 100 mɔ̌ kpowun gudo sín alɔnuwema wɛ nyí enɛ lɛ .
None se ndi iki ku buryo navuga ko Imana idashobora byose — Yesaya 408 .	Mɛ̌ un ka nyí bo na bló mɔ̌ ​ — Ezayíi 408 .
Reba ingingo ivuga ngo Uko wahitamo Bibiliya ihinduye neza yo mu Munara w’Umurinzi wo ku itariki ya 1 Gicurasi 2008 .	Kpɔ́n xota Comment choisir une bonne traduction de la Bible ɖò Atɔxwɛ Flansegbe Nùxwásun tɔn mɛ .
Icyakora ,ababaga bayirwaye bashyirwaga mu kato kandi bagombaga kuburira abandi kugira ngo batabegera . Abalewi .	É nyɔ́ wà ɔ ,è nɔ ɖè mɛ e doya na wɛ é ɖè lɛ é sín mɛ mɛ ,bɔ ye ɖó na nɔ gb’akpá nú mɛ ɖevo lɛ dó ninɔmɛ yetɔn wu . Levíi ví lɛ .
Urugero amategeko ya ba rabi yavugaga ko hagati y’umubembe n’umuntu muzima hagombaga kuba intera ireshya na metero 2 .	Ði kpɔ́ndéwú ɔ ,sɛ́n yetɔn lɛ gbɛ́ ɖɔ mɛɖebǔ ni ma nɔ nɔ mɛtlukpo 2 dó gudunɔ ɖé ó .
Ariko iyo habaga hari umuyaga ,hagombaga gusigaramo intera ireshya na metero 45 .	Amɔ̌ ,enyi jɔhɔn ɖò nyinyi wɛ ɔ ,mɛɖebǔ ɖó na nɔ mɛtlukpo 45 dó gudunɔ lɛ ǎ .
