input	target
Kwa nini Biblia Iliokoka 8	Nǔ E Wu Biblu ɔ Gézé É 8
Nilishindwa Mara Nyingi Kabla ya Kushinda 12	Un J’ayǐ Azɔn Gègě Cobɔ É Wá Kpa Mì 12
Uchunguzi Muhimu Zaidi Unaoweza Kufanya 14	A ka Jló Na Jlɛ́ Nǔ E A Ði Nǔ Na lɛ É Dó Biblu Wu Kpɔ́n À 14
Biblia ilikuwa imebadilishwa	Nǔ ɔ nɛ è ko ɖyɔ nɛ
Kufikia sasa hati hiyo ambayo hata haijafikia miaka 250 ,imechuja rangi hivi kwamba maandishi yake hayawezi kusomeka .	Ðò égbé ,ɖò xwè nǎ yì 250 gudo ɔ ,é cá kaka bɔ xixa tɔn nɔ vɛwǔ tawun .
Karibu mwaka wa 167 K.W.K .Mfalme Antioko Epifane wa Seleuko alijaribu kuwalazimisha Wayahudi wajiunge na dini ya Kigiriki kwa kuamuru nakala zote za Maandiko ya Kiebrania ziharibiwe .	Xwè 167 J.H.M .mɔ̌Axɔsu Antiochus Epiphanes e nyí akɔhɛnnugán ɖaxó Séleucide lɛ tɔn ɖé ,bo ba na hɛn Jwifu lɛ gannugánnú bɔ ye na byɔ sinsɛn Glɛkinu lɛ tɔn mɛ é ɖegbe ɖɔ è ni sú kún dó nú Akpáxwé Biblu Tɔn E È Wlan Dó Ebléegbe Mɛ lɛ É bǐ .
Tafsiri ya Kiingereza ya William Tyndale iliokoka licha ya marufuku ,kuchomwa kwa Biblia na hata kuuawa kwa Tyndale mwenyewe mwaka wa 1536	È gbɛ́ Biblu e William Tyndale lilɛ dó Glɛnsigbe mɛ é ,è dó zo ,bo lɛ́ hu Tyndale ɔ ɖesu ɖò 1536 có ,lilɛdogbeɖevomɛ Biblu tɔn enɛ ɔ gézé
Wayahudi walihifadhi nakala za Maandiko katika masinagogi yao ,Maandiko ambayo yalitumiwa baadaye na vizazi vyao ,kutia ndani Wakristo .Matendo 1521 .	Ye fɔ Mawuxówema ɔ ɖé lɛ ɖó kplɔ́ngbasá yetɔn lɛ ,Mawuxówema ɖokpo enɛ lɛ wɛ jijimɛ e wá bɔ d’ewu lɛ é zán ,kaka jɛ Klisanwun lɛ jí . Mɛsɛ́dó 1521 .
Kati ya karne ya pili na ya nne K.W.K .,waandishi wa Pentateuki ya Wasamaria waliongezea maneno haya katika Kutoka 2017 katika Mlima Gerizimu .	Nɔtɛn sinsɛn - biblo tɔÐò xwè kanweko ɛnɛgɔ ɔ kpo wegɔ ɔ kpo J.H.M .tɔn tɛntin ɔ ,mɛ e wlan Pɛntateki Samalíinu lɛ tɔn lɛ é gɔ́ xó nú Tíntɔ́n 2017 bo ɖɔ ,ɖò Aargaareezem .
Miaka 300 hivi baada ya Biblia kuandikwa ,mwandishi wa fundisho la Utatu aliongezea maneno haya katika andiko la 1 Yohana 57 mbinguni ,Baba ,na Neno ,na Roho Mtakatifu ,na watatu hawa ni umoja .	Nùkplɔnmɛ atɔnɖobǔ tɔÈ fó Biblu ɔ b’ɛ kpò kpɛɖé b’ɛ na bló xwè 300 é ɔ ,wema wlantɔ́ e nɔ jɛhun dó Atɔnɖobǔ jí é ɖé gɔ́ xó nú 1 Jaan 57 bo ɖɔ ,ɖò jixwé ,Tɔ́ ɔ ,Xó ɔ ,kpo Gbigbɔ Mímɛ́ ɔbɔ atɔn enɛ lɛ nyí ɖokpo .
Majina hayo yanapotumiwa kwenye Biblia yanaweza kurejelea Muumba ,wanadamu ,vitu vinavyoabudiwa na hata Ibilisi .Yohana 1 Wakorintho 2 Wakorintho 44 .	È ka zán tɛnmɛ - nyikɔ enɛ lɛ ɖò Biblu mɛ nú Gbɛɖotɔ́ ɔ kɛɖɛ ǎ ,loɔ ,è lɛ́ zán nú gbɛtɔ́ lɛ ,nǔmɛsɛn lɛ ,kaka jɛ Awovi jí . Jaan 1 Kɔlɛntinu lɛ 2 Kɔlɛntinu lɛ 44 .
Hata hivyo ,kama ilivyotajwa mwanzoni mwa makala hii waliongeza maneno yasiyo sahihi katika 1 Yohana 57 .	É ɖò mɔ̌ có ,ɖò 1 Jaan 57 mɛ ɔ ,ye gɔ́ xógbe masɔgbe e mǐ mɔ ɖò bǐbɛ̌mɛ xota elɔ tɔn lɛ é na .
Maneno yaliyo kwenye 1 Yohana 57 hayapatikani kwenye hati zote za awali Kisiria ,Kikoptiki ,Kiarmenia ,Kiethiopia ,Kiarabu ,Kislavonia isipokuwa kwenye tafsiri ya Kilatini pekee .	Bruce Metzger wlan ɖɔ Nukɛgbe ɔ ee è gɔ́ nú 1 Jaan 57 é ɖò alɔnuwema Biblu tɔn xóxó lɛ Syriaque ,Copte - Gbè ,Arménie - Gbè ,Ethiopie - Gbè ,Arabe - Gbè ,Slave - Gbè ɖebǔ mɛ zɛ Latɛ́ɛngbe tɔn kɛɖɛ wu ǎ .
Chester Beatty P46 ,hati ya mafunjo ya Biblia ya mwaka wa 200 W.K .	Chester Beatty P46 ,alɔnuwema Biblu tɔn e è sɔ́ fɛ́n dó bló ɖò xwè 200 H.M .mɔ̌ é ɖé
