input	target
Ndawa Izihlandlo Ezininzi Ngaphambi Kokuba Ndiphumelele 12	Un J’ayǐ Azɔn Gègě Cobɔ É Wá Kpa Mì 12
Eyona Ndlela Ifanelekileyo Yokuthelekisa Onokuze Uyenze 14	A ka Jló Na Jlɛ́ Nǔ E A Ði Nǔ Na lɛ É Dó Biblu Wu Kpɔ́n À 14
UMPHUMO Iinxalenye zemibhalo - ngqangi yeBhayibhile ezingamawakawaka ezinye zazo ezineminyaka engaphezu kweyi - 2 000 zikho zisekho unanamhl ’ oku .	NǓ E MƐ É TƆ́N KƆ DÓ ÉAlɔnuwema Biblu tɔn sín akpáxwé lɛ afatɔ́n mɔkpan ,ee ɖé lɛ ko ɖó xwè hú 2 000 é kpó ɖò ayǐ kaka jɛ égbé .
Kungekapheli neminyaka eyi - 250 sele ingabonakali into ebhalwe kuso ,ingafundeki nokufundeka .	Ðò égbé ,ɖò xwè nǎ yì 250 gudo ɔ ,é cá kaka bɔ xixa tɔn nɔ vɛwǔ tawun .
Malunga nonyaka ka - 167 B.C.E .UKumkani uAntiochus Epiphanes owayefuna ukunyanzela amaYuda ukuba anqule ngendlela yamaGrike wayalela ukuba zitshatyalaliswe zonke iikopi zeZibhalo zesiHebhere .	Xwè 167 J.H.M .mɔ̌Axɔsu Antiochus Epiphanes e nyí akɔhɛnnugán ɖaxó Séleucide lɛ tɔn ɖé ,bo ba na hɛn Jwifu lɛ gannugánnú bɔ ye na byɔ sinsɛn Glɛkinu lɛ tɔn mɛ é ɖegbe ɖɔ è ni sú kún dó nú Akpáxwé Biblu Tɔn E È Wlan Dó Ebléegbe Mɛ lɛ É bǐ .
Inguqulelo yesiNgesi kaWilliam Tyndale yasinda nangona yayingafunwa nokubonwa ,kutshiswa iiBhayibhile waza noTyndale wabulawa ngo - 1536	È gbɛ́ Biblu e William Tyndale lilɛ dó Glɛnsigbe mɛ é ,è dó zo ,bo lɛ́ hu Tyndale ɔ ɖesu ɖò 1536 có ,lilɛdogbeɖevomɛ Biblu tɔn enɛ ɔ gézé
Kwizindlu zawo zesikhungu amaYuda ayegcina iikopi zeZibhalo ibe zasetyenziswa zizizukulwana eziliqela kuquka namaKristu .IZenzo 15 21 .	Ye fɔ Mawuxówema ɔ ɖé lɛ ɖó kplɔ́ngbasá yetɔn lɛ ,Mawuxówema ɖokpo enɛ lɛ wɛ jijimɛ e wá bɔ d’ewu lɛ é zán ,kaka jɛ Klisanwun lɛ jí . Mɛsɛ́dó 1521 .
Indawo yokunqula Phakathi kwenkulungwane yesine neyesibini ngaphambi kwexesha likaYesu ,emva kwe - Eksodus 20 17 ababhali bePentatiki yamaSamariya bafakela amazwi athi eAargaareezem .	Nɔtɛn sinsɛn - biblo tɔÐò xwè kanweko ɛnɛgɔ ɔ kpo wegɔ ɔ kpo J.H.M .tɔn tɛntin ɔ ,mɛ e wlan Pɛntateki Samalíinu lɛ tɔn lɛ é gɔ́ xó nú Tíntɔ́n 2017 bo ɖɔ ,ɖò Aargaareezem .
Imfundiso yothixo oneziqu ezithathu Kungaphelanga neminyaka eyi - 300 iBhayibhile igqityiwe ,kweyoku - 1 kaYohane 5 7 umbhali okholelwa kwimfundiso yothixo oneziqu ezithathu wafakela amazwi athi ,emazulwini ,uYise ,noLizwi ,noMoya oyiNgcwele abo bathathu banye .	Nùkplɔnmɛ atɔnɖobǔ tɔÈ fó Biblu ɔ b’ɛ kpò kpɛɖé b’ɛ na bló xwè 300 é ɔ ,wema wlantɔ́ e nɔ jɛhun dó Atɔnɖobǔ jí é ɖé gɔ́ xó nú 1 Jaan 57 bo ɖɔ ,ɖò jixwé ,Tɔ́ ɔ ,Xó ɔ ,kpo Gbigbɔ Mímɛ́ ɔbɔ atɔn enɛ lɛ nyí ɖokpo .
UProfesa Moshe Goshen - Gottstein wathi Kuwo ukutshintsha oko kubhaliweyo kwakulityala elikhulu .	Nùkplɔnmɛtɔ́ Moshe Goshen - Gottstein wlan ɖɔ Jlǒ sísɔ́ dó ɖyɔ nǔ e ɖ’emɛ é na cí hwɛ e syɛn hú bǐ é huhu ɖɔhun nú ye .
Ngoko ,kweyoku - 1 kaYohane 5 7 zafakela amazwi angachananga akhankanywe ngaphambilana kweli nqaku .	É ɖò mɔ̌ có ,ɖò 1 Jaan 57 mɛ ɔ ,ye gɔ́ xógbe masɔgbe e mǐ mɔ ɖò bǐbɛ̌mɛ xota elɔ tɔn lɛ é na .
UBruce Metzger wathi La mazwi akweyoku - 1 kaYohane 5 7 awekho kweminye imibhalo - ngqangi owolwimi lwaseSiriya ,owesiCoptic ,owesiArmenia ,owesiTiyopiya ,owesiArabhu ,noweSlavonic ,ngaphandle kweyesiLatini .	Bruce Metzger wlan ɖɔ Nukɛgbe ɔ ee è gɔ́ nú 1 Jaan 57 é ɖò alɔnuwema Biblu tɔn xóxó lɛ Syriaque ,Copte - Gbè ,Arménie - Gbè ,Ethiopie - Gbè ,Arabe - Gbè ,Slave - Gbè ɖebǔ mɛ zɛ Latɛ́ɛngbe tɔn kɛɖɛ wu ǎ .
IChester Beatty P46 ,umbhalo - ngqangi weBhayibhile wompapiri wamalunga no - 200 C.E .	Chester Beatty P46 ,alɔnuwema Biblu tɔn e è sɔ́ fɛ́n dó bló ɖò xwè 200 H.M .mɔ̌ é ɖé
Xa kwafunyanwa imiSongo yoLwandle Olufileyo ngo - 1947 ,abaphandi batsho bakwazi ukuthelekisa iZibhalo zesiHebhere zamaMasorete nemisongo yeBhayibhile eyayibhalwe kwiminyaka engaphezu kwewaka ngaphambili .	Hwenu e è mɔ Wema Mlámlá Xù Kúkú ɔ Tɔn Lɛ ɖò 1947 é ɔ ,akɔwé Biblu tɔn lɛ wá kpéwú bo jlɛ́ nùwlanwlan Massorète lɛ tɔn e ɖò Ebléegbe mɛ lɛ é dó nǔ e ɖò wema mlámlá Biblu tɔn e è wlan sín xwè afatɔ́n jɛji jɛ nukɔn lɛ mɛ é wu .
KwiChester Beatty Library eseDublin ,eIreland kukho ingqokelela yemipapiri phantse yazo zonke iincwadi zeZibhalo ZamaKristu ZesiGrike ,kuquka nemibhalo - ngqangi yenkulungwane yesibini kwiminyaka eyi - 100 igqityiwe iBhayibhile .	Ðò wemasɛxwetɛn The Chester Beatty Library Dublin tɔn ɖò Irlande ɔ ,è tɛ́ fɛ́n e jí Akpáxwé Biblu Tɔn E È Wlan Dó Glɛkigbe Mɛ É sín wema ɖokpo ɖokpo ɖè é ,bɔ alɔnuwema Biblu tɔn xwè kanweko wegɔ H.M .tɔn lɛ lɔmɔ̌ ɖ’emɛ è fó Biblu ɔ wlanwlan é ɔ ,xwè 100 mɔ̌ kpowun gudo sín alɔnuwema wɛ nyí enɛ lɛ .
Ndingubani ke mna ukuba ndiwabekele umda amandla kaSomandla Isaya 40 8 .	Mɛ̌ un ka nyí bo na bló mɔ̌ ​ — Ezayíi 408 .
kwiMboniselo kaMeyi .	ɖò Atɔxwɛ Flansegbe Nùxwásun tɔn mɛ .
Kunoko ,abo babenalo babehlaliswa bodwa yaye babemele babalumkise abanye ngesigulo sabo .Levitikus 13 .	É nyɔ́ wà ɔ ,è nɔ ɖè mɛ e doya na wɛ é ɖè lɛ é sín mɛ mɛ ,bɔ ye ɖó na nɔ gb’akpá nú mɛ ɖevo lɛ dó ninɔmɛ yetɔn wu . Levíi ví lɛ .
Kodwa xa kubhudla umoya ,wayengamele asondele kumgama ongaphantsi kweemitha eziyi - 45 .	Amɔ̌ ,enyi jɔhɔn ɖò nyinyi wɛ ɔ ,mɛɖebǔ ɖó na nɔ mɛtlukpo 45 dó gudunɔ lɛ ǎ .
Endaweni yokubagxotha abo baneqhenqa ,wayebachukumisa de abaphilise .Mateyu 8 3 .	É nɔ nya ye dó gbě ǎ ,é nyɔ́ wà ɔ ,é ɖò gbesisɔmɛ bo y’agba ye wu ,kaka bo tlɛ gbɔ azɔn nú ye . Matie 83 .
Isatifiketi soqhawulo - mtshato sango - 71 72 C.E .	Mɛ Gbigbɛ́ Wema xwè 71 72 H.M .tɔn ɖé
Ngoko ,ngesinye isihlandlo ,abanye abaFarisi bavavanya uYesu ngalo mbuzo Kusemthethweni na ukuba indoda iqhawule umtshato nomfazi wayo nangasiphi na isizathu Mateyu 19 3 .	Enɛ wu wɛ ɖò ninɔmɛ ɖokpo mɛ ɔ ,Falizyɛn ɖé lɛ kàn nǔ elɔ byɔ Jezu dó tɛ́n ɛ kpɔ́ Sɛ́n mǐtɔn na gbè ɖɔ è ni ɖó dó nùɖé wu bo gbɛ́ asì mɛtɔn à ​ — Matie 193 .
Wavele wathi Nabani na oqhawula umtshato nomfazi wakhe ,ngaphandle kwangesizathu sohenyuzo ,aze atshate nomnye uyakrexeza .Mateyu 19 .	É ɖɔ nyì wɛn ɖɔ Enyi nyɔnu ɖé ma dó afɔ gbě ǎ ,bonu asú tɔn nya ɛ ,bo da nyɔnu ɖevo ɔ ,aga wɛ sunnu enɛ ɔ lɛ̀ . Matie .
Ngaba unesizathu sokucinga ukuba ungalilo	Nùɖé ka xlɛ́ we ɖɔ nǔ mɔhun sixu wá gbò we wɛ à
UBUNDLOBONGELA BASESITRATWENI Iingxelo zibonisa ukuba ,eMerika kukho amaqela emigulukudu angaphezu kwe - 30 000 .	ADAKAXIXO ÐÒ TOXO MƐÈ ɖɔ ɖɔ jaguda sín gbɛ̌ta nǔ hú 30 000 wɛ ɖò ayǐ gbà wɛ ɖò États - Unis .
Kunyaka omnye ,kuMbindi nakuMzantsi Merika kuye kwabulawa abantu abangaphezu kwe - 100 000 ,bamalunga ne - 50 000 ababulewe eBrazil .	Gbɛtɔ́ hugǎn 100 000 wɛ è hu ɖò Amérique Latine ɖò xwè ɖokpo mɛ ,bɔ Brésil tɔn kɔ́kɔ́ɖɔ́kɔ́ ɔ yì 50 000 mɔ̌ .
Sekunjalo ,kukho lonke uhlobo lobundlobongela kweso sixeko ,izinga lokubulawa kwabantu ,iseyi - 10 kubantu abayi - 100 000 .	É ɖò mɔ̌ có ,adakaxixo alɔkpa lɛ bǐ wɛ gbakpé toxo enɛ mɛ ,bɔ è kpò ɖò gbɛtɔ́ 10 ɖò 100 000 jí hu wɛ .
Kuba ukumthanda uThixo kuko ukuthi ,siyigcine imiyalelo yakhe .1 Yohane 5 3 .	Wǎn yí nú Mawu wɛ nyí è ni nyì sɛ́n tɔn lɛ sɛ́n tɔn lɛ ka vɛ́ nyì ǎ . 1 Jaan 53 .
Ukoyika uYehova kuthetha ukuthiya okubi .IMizekeliso 8 13 .	Sísí ɖó nú alǒ xɛsi ɖi nú Mawu Mavɔmavɔ wɛ nyí wǎn gbɛ́ nú nǔ nyanya . Nùnywɛxó 813 .
