input	target
﻿Ìdá 1 Kín ni Creative Commons 	Unit 1 What is Creative Commons 
Iṣẹ́ yìí wà lábẹ́ àṣẹ Creative Commons Attribution 4.0 International License.	This work is licensed under a Creative Commons Attribution 4.0 International License.
Creative Commons jẹ́ àwọn ọ̀kan-ò-jọ̀kan ohun-èlò ajẹmófin, iléeṣẹ́ àìlérèlórí, àti àjọ àwọn ènìyàn eléròǹgbà kan náà kárí àgbáńlá ayé— tí í ṣe ìmísí àwọn ènìyànkan tí ó ní ìfẹ́ tinútinú láti pín àwọn iṣẹ́-àtinúdá àti ìmọ̀ wọn èyí tí ó ní àtìlẹ́yìn àwọn ọ̀kan-ò-jọ̀kan àṣẹ ìṣísílẹ̀-gbangba-wálíà fún àtúnlò.	Creative Commons is a set of legal tools, a nonprofit organization, as well as a global network and a movement — all inspired by people’s willingness to share their creativity and knowledge, and enabled by a set of open copyright licenses.
Creative Commons bẹ̀rẹ̀ láti wá wọ̀rọ̀kọ̀ fi ṣe àdá látàrí ètò, ẹ̀tọ́ àti àṣẹ-ẹ̀dà lórí iṣẹ́-ọpọlọ-àtinúdá àgbáńlá ayé tí kò bá ìgbà mu .	Creative Commons began in response to an outdated global copyright legal system.
Àwọn àṣẹ CC jẹ mọ́ àṣẹ ẹni tí ó ní iṣẹ́-àtinúdá tí ó jẹ́ pé ó fi àyè gba àwọn oníṣẹ́-ọpọlọ-àtinúdá láti yan oríṣìíríṣìí àṣẹ fún àtúnpín àti àtúnlò iṣẹ́.	CC licenses are built on copyright and are designed to give more options to creators who want to share.
Ìgbàdéègbà ni ọpọ́n àti ojúṣe Creative Commons ń fẹjú sí i.Ìdá yìí yóò tú pẹrẹpẹ́ẹ̀rẹ̀ ibi tí CC ti ń bọ̀ àti ibi tí ó fi orí lé.	Over time, the role and value of Creative Commons has expanded.This unit will introduce you to where CC came from and where it is headed.
Abala méjì ni ìdá yìí níi	This unit has two sections
Ìtàn Creative Commons	The Story of Creative Commons
Creative Commons Lónìí	Creative Commons Today
Bákan náà ni àwọn àfikún wà tí ó ń ṣàlàyé síwájú bí o bá nífẹ̀ẹ́ sí ìtẹ̀síwájú ìṣípayá nípa èyíkéyìí orí-ọ̀rọ̀ tí ó wà nínú ìdá ẹ̀kọ́ yìí.	There are also additional resources if you are interested in learning more about any of the topics covered in this unit.
