input	target
Àmọ́ ,ǹjẹ́ Ọlọ́run ti ṣe ohunkóhun láti gbà wá lọ́wọ́ ikú	Amɔ̌ ,Mawu ka wà nùɖé bo na dó jla ninɔmɛ ɔ ɖó à
Báwo ni Ọlọ́run ṣe ṣe èyí	Nɛ̌ Mawu ka wà enɛ gbɔn
Ìwé Róòmù 623 sọ pé Owó ọ̀yà tí ẹ̀ṣẹ̀ máa ń san ni ikú .	Axɔ e hwɛhuhu nɔ sú mɛ ɔ wɛ nyí kú ,wɛ Biblu ɖɔ ɖò Hlɔmanu lɛ 623 mɛ .
Àmọ́ ,kì í ṣe ẹ̀bi wa pé a jẹ́ ẹlẹ́ṣẹ̀ torí pé ńṣe la jogún ẹ̀ṣẹ̀ látọ̀dọ̀ àwọn òbí wa àkọ́kọ́ .	Amɔ̌ ,mǐɖesunɔ wu wɛ é sín ǎ ,é jì mǐ dó hwɛhuhu mɛ wɛ .
Ṣùgbọ́n torí pé Ọlọ́run nífẹ̀ẹ́ wa ,ó rán Jésù Ọmọ rẹ̀ kó lè wá san ‘ owó ọ̀yà ẹ̀ṣẹ̀ ’ náà nítorí wa .	Mawu yí wǎn nú mǐ bo sɛ́ Vǐ tɔn Jezu dó b’ɛ wá sú axɔ hwɛhuhu tɔn ɔ ’ nú mǐ .
Kí wá nìdí tó fi pọn dandan kí Jésù kú kó tó lè gbà wá lọ́wọ́ ẹ̀ṣẹ̀ àti ikú	Etɛwu é ka ɖò dandan ɖɔ Jezu ni kú bonu nǔ ni nyí mɔ̌
Títẹ̀lé òfin yìí máa fi hàn pé Ọlọ́run ń ṣe ìdájọ́ òdodo . Sáàmù 3728 .	É ɖò dandan ,bonu nǔ wà ɖó sɛnxwi jí nugbǒ na dó tíìn . Ðɛhan 3728 .
Jésù sọ nínú ìwé Jòhánù 316 pé Ọlọ́run nífẹ̀ẹ́ ayé tó bẹ́ẹ̀ gẹ́ẹ́ tí ó fi fi Ọmọ bíbí rẹ̀ kan ṣoṣo fúnni ,kí olúkúlùkù ẹni tí ó bá ń lo ìgbàgbọ́ nínú rẹ̀ má bàa pa run ,ṣùgbọ́n kí ó lè ní ìyè àìnípẹ̀kun .	Ðǒ ayi xó e Jezu ɖɔ ɖò Jaan 316 mɛ é Mawu yí wǎn nú gbɛtɔ́ sɔmɔ̌ ,bo sɔ́ Vǐɖokponɔ tɔn jó ,bonu mɛ e na ɖi nǔ n’i lɛ ɖebǔ ma dɔn ó loɔ ,ye bǐ ni mɔ gbɛ̀ mavɔmavɔ .
Jésù sọ ohun tá a gbọ́dọ̀ ṣe ,ó ní Èyí túmọ̀ sí ìyè àìnípẹ̀kun ,gbígbà tí wọ́n bá ń gba ìmọ̀ ìwọ ,Ọlọ́run tòótọ́ kan ṣoṣo náà sínú ,àti ti ẹni tí ìwọ rán jáde ,Jésù Kristi . Jòhánù 173 .	Jezu ɖɔ nǔ e mǐ ɖó na wà é Gbɛ̀ mavɔmavɔ ɔ wɛ nyí ɖɔ ye ni tuùn we ,bo tuùn ɖɔ hwi wɛ nyí Mawu nugbǒ ɖokpo e tíìn é ,bo lɛ́ tuùn Jezu Klisu e a sɛ́dó gbɛ̀ ɔ mɛ é . Jaan 173 .
Ẹ̀mí mímọ́ Ọlọ́run sì dáàbò bo Jésù kó máa bàa jogún ẹ̀ṣẹ̀ látara Màríà . Lúùkù .	Gbɛ̀ Jezu tɔn e Mawu sɔ́ sín jixwé dó adɔgo Mali tɔn mɛ é zɔ́n b’ɛ mɔ xò ,bɔ gbigbɔ mímɛ́ Mawu tɔn cyɔn alɔ Jezu jí b’ɛ ɖu hwɛhuhu gú ɖò Mali gɔ́n ǎ . Luki .
Kàkà bẹ́ẹ̀ ,ẹ̀dá ẹ̀mí burúkú kan ni .	Nùɖíɖó gbigbɔ tɔn nyanya ɖé wɛ .
